Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 0.2505649 ; 90.88505
1.0625E-5 ;  ;  ; 0.2430844 ; 88.17125
1.125E-5 ;  ;  ; 0.2362362 ; 85.68685
1.1875E-5 ;  ;  ; 0.2299361 ; 83.40127
1.25E-5 ;  ;  ; 0.2241146 ; 81.28932
1.375E-5 ;  ;  ; 0.2136861 ; 77.50597
1.5E-5 ;  ;  ; 0.20459 ; 74.20598
1.625E-5 ;  ;  ; 0.1965648 ; 71.29448
1.75E-5 ;  ;  ; 0.1894156 ; 68.70077
1.875E-5 ;  ;  ; 0.1829938 ; 66.37096
2.0E-5 ;  ;  ; 0.177184 ; 64.26312
2.1875E-5 ;  ;  ; 0.1694217 ; 61.44689
2.375E-5 ;  ;  ; 0.1625978 ; 58.97111
2.5625E-5 ;  ;  ; 0.1565374 ; 56.77228
2.75E-5 ;  ;  ; 0.1511079 ; 54.80234
2.9375E-5 ;  ;  ; 0.1462069 ; 53.02415
3.125E-5 ;  ;  ; 0.141754 ; 51.40849
3.3125E-5 ;  ;  ; 0.1376847 ; 49.93202
3.5E-5 ;  ;  ; 0.133947 ; 48.57584
3.875E-5 ;  ;  ; 0.1273028 ; 46.16502
4.25E-5 ;  ;  ; 0.1215586 ; 44.08076
4.625E-5 ;  ;  ; 0.1165282 ; 42.25541
5.0E-5 ;  ;  ; 0.1120749 ; 40.63947
5.3125E-5 ;  ;  ; 0.1087299 ; 39.42568
5.625E-5 ;  ;  ; 0.1056678 ; 38.3145
5.9375E-5 ;  ;  ; 0.1028507 ; 37.29223
6.25E-5 ;  ;  ; 0.1002476 ; 36.34762
6.875E-5 ;  ;  ; 0.09558457 ; 34.65543
7.5E-5 ;  ;  ; 0.09151734 ; 33.17943
8.125E-5 ;  ;  ; 0.08792898 ; 31.87718
8.75E-5 ;  ;  ; 0.08473234 ; 30.71707
9.375E-5 ;  ;  ; 0.08186097 ; 29.67499
1.0E-4 ;  ;  ; 0.07926321 ; 28.73218
1.0625E-4 ;  ;  ; 0.07689819 ; 27.87384
1.125E-4 ;  ;  ; 0.07473312 ; 27.08805
1.1875E-4 ;  ;  ; 0.07274132 ; 26.36514
1.25E-4 ;  ;  ; 0.07090085 ; 25.69715
1.375E-4 ;  ;  ; 0.06760386 ; 24.5005
1.5E-4 ;  ;  ; 0.06472813 ; 23.45673
1.625E-4 ;  ;  ; 0.06219096 ; 22.53584
1.75E-4 ;  ;  ; 0.05993073 ; 21.71546
1.875E-4 ;  ;  ; 0.05790048 ; 20.97855
2.0E-4 ;  ;  ; 0.05606367 ; 20.31185
2.1875E-4 ;  ;  ; 0.05360955 ; 19.4211
2.375E-4 ;  ;  ; 0.05145211 ; 18.63803
2.5625E-4 ;  ;  ; 0.049536 ; 17.94257
2.75E-4 ;  ;  ; 0.04781934 ; 17.31951
2.9375E-4 ;  ;  ; 0.04626976 ; 16.7571
3.125E-4 ;  ;  ; 0.0448618 ; 16.2461
3.3125E-4 ;  ;  ; 0.04357513 ; 15.77914
3.5E-4 ;  ;  ; 0.04239327 ; 15.35022
3.875E-4 ;  ;  ; 0.0402923 ; 14.58777
4.25E-4 ;  ;  ; 0.03847586 ; 13.92862
4.625E-4 ;  ;  ; 0.03688503 ; 13.35137
5.0E-4 ;  ;  ; 0.03547666 ; 12.84035
5.3125E-4 ;  ;  ; 0.03441876 ; 12.45653
5.625E-4 ;  ;  ; 0.03345027 ; 12.10516
5.9375E-4 ;  ;  ; 0.03255927 ; 11.78192
6.25E-4 ;  ;  ; 0.03173593 ; 11.48324
6.875E-4 ;  ;  ; 0.03026096 ; 10.9482
7.5E-4 ;  ;  ; 0.02897439 ; 10.48155
8.125E-4 ;  ;  ; 0.02783925 ; 10.06986
8.75E-4 ;  ;  ; 0.02682798 ; 9.703128
9.375E-4 ;  ;  ; 0.02591957 ; 9.373724
0.001 ;  ;  ; 0.0250977 ; 9.07572
0.0010625 ;  ;  ; 0.02434943 ; 8.804425
0.001125 ;  ;  ; 0.0236644 ; 8.556075
0.0011875 ;  ;  ; 0.02303417 ; 8.327607
0.00125 ;  ;  ; 0.02245181 ; 8.116503
0.001375 ;  ;  ; 0.0214085 ; 7.738347
0.0015 ;  ;  ; 0.02049843 ; 7.408517
0.001625 ;  ;  ; 0.01969543 ; 7.117525
0.00175 ;  ;  ; 0.01898003 ; 6.8583
0.001875 ;  ;  ; 0.01833737 ; 6.625454
0.002 ;  ;  ; 0.0177559 ; 6.414799
0.0021875 ;  ;  ; 0.01697898 ; 6.13336
0.002375 ;  ;  ; 0.01629596 ; 5.885964
0.0025625 ;  ;  ; 0.01568934 ; 5.666267
0.00275 ;  ;  ; 0.01514589 ; 5.469465
0.0029375 ;  ;  ; 0.01465536 ; 5.29184
0.003125 ;  ;  ; 0.01420967 ; 5.130468
0.0033125 ;  ;  ; 0.01380236 ; 4.983005
0.0035 ;  ;  ; 0.01342821 ; 4.847557
0.003875 ;  ;  ; 0.01276296 ; 4.606755
0.00425 ;  ;  ; 0.01218764 ; 4.398529
0.004625 ;  ;  ; 0.01168367 ; 4.216148
0.005 ;  ;  ; 0.01123749 ; 4.054698
0.0053125 ;  ;  ; 0.01090239 ; 3.933456
0.005625 ;  ;  ; 0.01059568 ; 3.822493
0.0059375 ;  ;  ; 0.01031356 ; 3.720434
0.00625 ;  ;  ; 0.01005289 ; 3.626144
0.006875 ;  ;  ; 0.00958588 ; 3.457229
0.0075 ;  ;  ; 0.009178345 ; 3.309845
0.008125 ;  ;  ; 0.008818599 ; 3.179759
0.00875 ;  ;  ; 0.008498021 ; 3.063848
0.009375 ;  ;  ; 0.008210056 ; 2.95974
0.01 ;  ;  ; 0.007949599 ; 2.865585
0.010625 ;  ;  ; 0.00771259 ; 2.779914
0.01125 ;  ;  ; 0.007495745 ; 2.701538
0.011875 ;  ;  ; 0.007296351 ; 2.629475
0.0125 ;  ;  ; 0.007112141 ; 2.562905
0.01375 ;  ;  ; 0.006782 ; 2.44361
0.015 ;  ;  ; 0.006493679 ; 2.33944
