Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=28 : (z,n+p) ; MT=41 : (z,2n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.0059375 ;  ;  ;  ;  ;  ; 95.82732 ; 
0.00625 ;  ;  ;  ;  ;  ; 93.25317 ; 
0.006875 ;  ;  ;  ;  ;  ; 88.63364 ; 
0.0075 ;  ;  ;  ;  ;  ; 84.59369 ; 
0.008125 ;  ;  ;  ;  ;  ; 81.02008 ; 
0.00875 ;  ;  ;  ;  ;  ; 77.8292 ; 
0.009375 ;  ;  ;  ;  ;  ; 74.95744 ; 
0.01 ;  ;  ;  ;  ;  ; 72.35522 ; 
0.010625 ;  ;  ;  ;  ;  ; 69.98309 ; 
0.01125 ;  ;  ;  ;  ;  ; 67.80909 ; 
0.011875 ;  ;  ;  ;  ;  ; 65.80682 ; 
0.0125 ;  ;  ;  ;  ;  ; 63.95418 ; 
0.01375 ;  ;  ;  ;  ;  ; 60.62685 ; 
0.015 ;  ;  ;  ;  ;  ; 57.7134 ; 
0.01625 ;  ;  ;  ;  ;  ; 55.1345 ; 
0.0175 ;  ;  ;  ;  ;  ; 52.83166 ; 
0.01875 ;  ;  ;  ;  ;  ; 50.75946 ; 
0.02 ;  ;  ;  ;  ;  ; 48.88192 ; 
0.021325 ;  ;  ;  ;  ;  ; 47.07242 ; 
0.02265 ;  ;  ;  ;  ;  ; 45.42218 ; 
0.023975 ;  ;  ;  ;  ;  ; 43.90932 ; 
0.0253 ;  ;  ;  ;  ;  ; 42.5159 ; 
0.02684375 ;  ;  ;  ;  ;  ; 41.02338 ; 
0.0283875 ;  ;  ;  ;  ;  ; 39.65356 ; 
0.02993125 ;  ;  ;  ;  ;  ; 38.39103 ; 
0.031475 ;  ;  ;  ;  ;  ; 37.22338 ; 
0.03301875 ;  ;  ;  ;  ;  ; 36.14005 ; 
0.0345625 ;  ;  ;  ;  ;  ; 35.13138 ; 
0.03765 ;  ;  ;  ;  ;  ; 33.30383 ; 
0.0407375 ;  ;  ;  ;  ;  ; 31.68762 ; 
0.043825 ;  ;  ;  ;  ;  ; 30.24805 ; 
0.0469125 ;  ;  ;  ;  ;  ; 28.9574 ; 
0.05 ;  ;  ;  ;  ;  ; 27.79293 ; 
0.053125 ;  ;  ;  ;  ;  ; 26.72409 ; 
0.05625 ;  ;  ;  ;  ;  ; 25.75043 ; 
0.059375 ;  ;  ;  ;  ;  ; 24.8595 ; 
0.0625 ;  ;  ;  ;  ;  ; 24.04099 ; 
