Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.021325 ;  ;  ; 1.736941 ;  ; 3.48225E-15
0.02265 ;  ;  ; 1.685395 ;  ; 3.69327E-15
0.023975 ;  ;  ; 1.638214 ;  ; 3.9043E-15
0.0253 ;  ;  ; 1.594826 ;  ; 4.11533E-15
0.02684375 ;  ;  ; 1.548425 ;  ; 4.3612E-15
0.0283875 ;  ;  ; 1.505882 ;  ; 4.60707E-15
0.031475 ;  ;  ; 1.430319 ;  ; 5.09881E-15
0.0345625 ;  ;  ; 1.36498 ;  ; 5.59056E-15
0.03765 ;  ;  ; 1.307797 ;  ; 6.08231E-15
0.0407375 ;  ;  ; 1.257248 ;  ; 6.57405E-15
0.043825 ;  ;  ; 1.212154 ;  ; 7.0658E-15
0.0469125 ;  ;  ; 1.1716 ;  ; 7.55756E-15
0.05 ;  ;  ; 1.134873 ;  ; 8.04931E-15
0.053125 ;  ;  ; 1.101023 ;  ; 8.54703E-15
0.05625 ;  ;  ; 1.070063 ;  ; 9.04476E-15
0.059375 ;  ;  ; 1.041629 ;  ; 9.54248E-15
0.0625 ;  ;  ; 1.015394 ;  ; 1.00402E-14
0.06875 ;  ;  ; 0.9683428 ;  ; 1.10357E-14
0.075 ;  ;  ; 0.9271747 ;  ; 1.20311E-14
0.08125 ;  ;  ; 0.8908358 ;  ; 1.30266E-14
0.0875 ;  ;  ; 0.8584744 ;  ; 1.4022E-14
0.09375 ;  ;  ; 0.8294154 ;  ; 1.50175E-14
0.1 ;  ;  ; 0.8031328 ;  ; 1.60129E-14
0.10625 ;  ;  ; 0.7792115 ;  ; 1.70084E-14
0.1125 ;  ;  ; 0.7573238 ;  ; 1.80039E-14
0.11875 ;  ;  ; 0.7372283 ;  ; 1.89993E-14
0.125 ;  ;  ; 0.7187274 ;  ; 1.99948E-14
0.1375 ;  ;  ; 0.6855123 ;  ; 2.19857E-14
0.15 ;  ;  ; 0.6564163 ;  ; 2.39766E-14
0.1625 ;  ;  ; 0.6307527 ;  ; 2.59675E-14
0.175 ;  ;  ; 0.6079019 ;  ; 2.79584E-14
0.1875 ;  ;  ; 0.5873927 ;  ; 2.99493E-14
0.2 ;  ;  ; 0.5689079 ;  ; 3.19403E-14
0.21875 ;  ;  ; 0.5441865 ;  ; 3.49266E-14
0.2375 ;  ;  ; 0.5223899 ;  ; 3.7913E-14
0.25625 ;  ;  ; 0.5030421 ;  ; 4.08994E-14
0.275 ;  ;  ; 0.4857181 ;  ; 4.38857E-14
0.29375 ;  ;  ; 0.4700884 ;  ; 4.68721E-14
0.3125 ;  ;  ; 0.4558943 ;  ; 4.98585E-14
0.33125 ;  ;  ; 0.4429338 ;  ; 5.28449E-14
0.35 ;  ;  ; 0.4311157 ;  ; 5.58312E-14
0.3875 ;  ;  ; 0.4100363 ;  ; 6.1804E-14
0.425 ;  ;  ; 0.3917368 ;  ; 6.77767E-14
0.5 ;  ;  ; 0.3616292 ;  ; 7.97222E-14
0.625 ;  ;  ; 0.3241127 ;  ; 9.96314E-14
0.75 ;  ;  ; 0.296441 ;  ; 1.19541E-13
0.875 ;  ;  ; 0.2750434 ;  ; 1.3945E-13
1.0 ;  ;  ; 0.2578379 ;  ; 1.59359E-13
1.25 ;  ;  ; 0.2315293 ;  ; 1.99177E-13
1.5 ;  ;  ; 0.2122096 ;  ; 2.38996E-13
1.75 ;  ;  ; 0.1972954 ;  ; 2.78814E-13
2.0 ;  ;  ; 0.1853242 ;  ; 3.18632E-13
2.375 ;  ;  ; 0.1711251 ;  ; 3.7836E-13
2.75 ;  ;  ; 0.1600385 ;  ; 4.38087E-13
