Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ;  ;  ; 50.31725 ;  ; 
1.0625E-5 ;  ;  ;  ;  ; 48.8149 ;  ; 
1.125E-5 ;  ;  ;  ;  ; 47.43956 ;  ; 
1.1875E-5 ;  ;  ;  ;  ; 46.17428 ;  ; 
1.25E-5 ;  ;  ;  ;  ; 45.00512 ;  ; 
1.375E-5 ;  ;  ;  ;  ; 42.9107 ;  ; 
1.5E-5 ;  ;  ;  ;  ; 41.08387 ;  ; 
1.625E-5 ;  ;  ;  ;  ; 39.4721 ;  ; 
1.75E-5 ;  ;  ;  ;  ; 38.03627 ;  ; 
1.875E-5 ;  ;  ;  ;  ; 36.74653 ;  ; 
2.0E-5 ;  ;  ;  ;  ; 35.57968 ;  ; 
2.1875E-5 ;  ;  ;  ;  ; 34.02068 ;  ; 
2.375E-5 ;  ;  ;  ;  ; 32.65015 ;  ; 
2.5625E-5 ;  ;  ;  ;  ; 31.43295 ;  ; 
2.75E-5 ;  ;  ;  ;  ; 30.34246 ;  ; 
2.9375E-5 ;  ;  ;  ;  ; 29.35811 ;  ; 
3.125E-5 ;  ;  ;  ;  ; 28.46375 ;  ; 
3.3125E-5 ;  ;  ;  ;  ; 27.64644 ;  ; 
3.5E-5 ;  ;  ;  ;  ; 26.89572 ;  ; 
3.875E-5 ;  ;  ;  ;  ; 25.5612 ;  ; 
4.25E-5 ;  ;  ;  ;  ; 24.40747 ;  ; 
4.625E-5 ;  ;  ;  ;  ; 23.39706 ;  ; 
5.0E-5 ;  ;  ;  ;  ; 22.50258 ;  ; 
5.3125E-5 ;  ;  ;  ;  ; 21.83071 ;  ; 
5.625E-5 ;  ;  ;  ;  ; 21.21563 ;  ; 
5.9375E-5 ;  ;  ;  ;  ; 20.64978 ;  ; 
6.25E-5 ;  ;  ;  ;  ; 20.12692 ;  ; 
6.875E-5 ;  ;  ;  ;  ; 19.19027 ;  ; 
7.5E-5 ;  ;  ;  ;  ; 18.37328 ;  ; 
8.125E-5 ;  ;  ;  ;  ; 17.65248 ;  ; 
8.75E-5 ;  ;  ;  ;  ; 17.01036 ;  ; 
9.375E-5 ;  ;  ;  ;  ; 16.43357 ;  ; 
1.0E-4 ;  ;  ;  ;  ; 15.91173 ;  ; 
1.0625E-4 ;  ;  ;  ;  ; 15.43665 ;  ; 
1.125E-4 ;  ;  ;  ;  ; 15.00173 ;  ; 
1.1875E-4 ;  ;  ;  ;  ; 14.60161 ;  ; 
1.25E-4 ;  ;  ;  ;  ; 14.23189 ;  ; 
1.375E-4 ;  ;  ;  ;  ; 13.56957 ;  ; 
1.5E-4 ;  ;  ;  ;  ; 12.99188 ;  ; 
1.625E-4 ;  ;  ;  ;  ; 12.48219 ;  ; 
1.75E-4 ;  ;  ;  ;  ; 12.02814 ;  ; 
1.875E-4 ;  ;  ;  ;  ; 11.62028 ;  ; 
2.0E-4 ;  ;  ;  ;  ; 11.25129 ;  ; 
2.1875E-4 ;  ;  ;  ;  ; 10.75829 ;  ; 
2.375E-4 ;  ;  ;  ;  ; 10.32489 ;  ; 
2.5625E-4 ;  ;  ;  ;  ; 9.93997 ;  ; 
2.75E-4 ;  ;  ;  ;  ; 9.595123 ;  ; 
2.9375E-4 ;  ;  ;  ;  ; 9.283844 ;  ; 
3.125E-4 ;  ;  ;  ;  ; 9.001018 ;  ; 
3.3125E-4 ;  ;  ;  ;  ; 8.742559 ;  ; 
3.5E-4 ;  ;  ;  ;  ; 8.505157 ;  ; 
3.875E-4 ;  ;  ;  ;  ; 8.083142 ;  ; 
4.25E-4 ;  ;  ;  ;  ; 7.718295 ;  ; 
4.625E-4 ;  ;  ;  ;  ; 7.398773 ;  ; 
5.0E-4 ;  ;  ;  ;  ; 7.115908 ;  ; 
5.3125E-4 ;  ;  ;  ;  ; 6.903442 ;  ; 
5.625E-4 ;  ;  ;  ;  ; 6.708937 ;  ; 
5.9375E-4 ;  ;  ;  ;  ; 6.529998 ;  ; 
6.25E-4 ;  ;  ;  ;  ; 6.364653 ;  ; 
6.875E-4 ;  ;  ;  ;  ; 6.068456 ;  ; 
7.5E-4 ;  ;  ;  ;  ; 5.810104 ;  ; 
8.125E-4 ;  ;  ;  ;  ; 5.582167 ;  ; 
8.75E-4 ;  ;  ;  ;  ; 5.379112 ;  ; 
9.375E-4 ;  ;  ;  ;  ; 5.196718 ;  ; 
0.001 ;  ;  ;  ;  ; 5.031702 ;  ; 
0.0010625 ;  ;  ;  ;  ; 4.881471 ;  ; 
0.001125 ;  ;  ;  ;  ; 4.74394 ;  ; 
0.0011875 ;  ;  ;  ;  ; 4.617414 ;  ; 
0.00125 ;  ;  ;  ;  ; 4.500501 ;  ; 
0.001375 ;  ;  ;  ;  ; 4.291064 ;  ; 
0.0015 ;  ;  ;  ;  ; 4.108385 ;  ; 
0.001625 ;  ;  ;  ;  ; 3.947211 ;  ; 
0.00175 ;  ;  ;  ;  ; 3.80363 ;  ; 
0.001875 ;  ;  ;  ;  ; 3.674658 ;  ; 
0.002 ;  ;  ;  ;  ; 3.557974 ;  ; 
0.0021875 ;  ;  ;  ;  ; 3.402079 ;  ; 
0.002375 ;  ;  ;  ;  ; 3.265032 ;  ; 
0.0025625 ;  ;  ;  ;  ; 3.143319 ;  ; 
0.00275 ;  ;  ;  ;  ; 3.034278 ;  ; 
0.0029375 ;  ;  ;  ;  ; 2.935853 ;  ; 
0.003125 ;  ;  ;  ;  ; 2.846424 ;  ; 
0.0033125 ;  ;  ;  ;  ; 2.764699 ;  ; 
0.0035 ;  ;  ;  ;  ; 2.68963 ;  ; 
0.003875 ;  ;  ;  ;  ; 2.556176 ;  ; 
0.00425 ;  ;  ;  ;  ; 2.440791 ;  ; 
0.004625 ;  ;  ;  ;  ; 2.339736 ;  ; 
0.005 ;  ;  ;  ;  ; 2.250276 ;  ; 
0.0053125 ;  ;  ;  ;  ; 2.183083 ;  ; 
0.005625 ;  ;  ;  ;  ; 2.121574 ;  ; 
0.0059375 ;  ;  ;  ;  ; 2.06499 ;  ; 
0.00625 ;  ;  ;  ;  ; 2.012705 ;  ; 
0.006875 ;  ;  ;  ;  ; 1.919038 ;  ; 
0.0075 ;  ;  ;  ;  ; 1.837324 ;  ; 
0.008125 ;  ;  ;  ;  ; 1.765215 ;  ; 
0.00875 ;  ;  ;  ;  ; 1.700971 ;  ; 
0.009375 ;  ;  ;  ;  ; 1.643268 ;  ; 
0.01 ;  ;  ;  ;  ; 1.591075 ;  ; 
0.010625 ;  ;  ;  ;  ; 1.543574 ;  ; 
