Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ;  ;  ; 12.57947 ;  ; 
1.0625E-5 ;  ;  ;  ;  ; 12.20388 ;  ; 
1.125E-5 ;  ;  ;  ;  ; 11.86004 ;  ; 
1.1875E-5 ;  ;  ;  ;  ; 11.54371 ;  ; 
1.25E-5 ;  ;  ;  ;  ; 11.25142 ;  ; 
1.375E-5 ;  ;  ;  ;  ; 10.72781 ;  ; 
1.5E-5 ;  ;  ;  ;  ; 10.27109 ;  ; 
1.625E-5 ;  ;  ;  ;  ; 9.868149 ;  ; 
1.75E-5 ;  ;  ;  ;  ; 9.509186 ;  ; 
1.875E-5 ;  ;  ;  ;  ; 9.186746 ;  ; 
2.0E-5 ;  ;  ;  ;  ; 8.895029 ;  ; 
2.1875E-5 ;  ;  ;  ;  ; 8.505275 ;  ; 
2.375E-5 ;  ;  ;  ;  ; 8.162639 ;  ; 
2.5625E-5 ;  ;  ;  ;  ; 7.858334 ;  ; 
2.75E-5 ;  ;  ;  ;  ; 7.585707 ;  ; 
2.9375E-5 ;  ;  ;  ;  ; 7.339618 ;  ; 
3.125E-5 ;  ;  ;  ;  ; 7.116024 ;  ; 
3.3125E-5 ;  ;  ;  ;  ; 6.911693 ;  ; 
3.5E-5 ;  ;  ;  ;  ; 6.724011 ;  ; 
3.875E-5 ;  ;  ;  ;  ; 6.390378 ;  ; 
4.25E-5 ;  ;  ;  ;  ; 6.101941 ;  ; 
4.625E-5 ;  ;  ;  ;  ; 5.849336 ;  ; 
5.0E-5 ;  ;  ;  ;  ; 5.625711 ;  ; 
5.3125E-5 ;  ;  ;  ;  ; 5.457742 ;  ; 
5.625E-5 ;  ;  ;  ;  ; 5.303971 ;  ; 
5.9375E-5 ;  ;  ;  ;  ; 5.162507 ;  ; 
6.25E-5 ;  ;  ;  ;  ; 5.031789 ;  ; 
6.875E-5 ;  ;  ;  ;  ; 4.797623 ;  ; 
7.5E-5 ;  ;  ;  ;  ; 4.593374 ;  ; 
8.125E-5 ;  ;  ;  ;  ; 4.413171 ;  ; 
8.75E-5 ;  ;  ;  ;  ; 4.252638 ;  ; 
9.375E-5 ;  ;  ;  ;  ; 4.108438 ;  ; 
1.0E-4 ;  ;  ;  ;  ; 3.977978 ;  ; 
1.0625E-4 ;  ;  ;  ;  ; 3.859206 ;  ; 
1.125E-4 ;  ;  ;  ;  ; 3.750474 ;  ; 
1.1875E-4 ;  ;  ;  ;  ; 3.650443 ;  ; 
1.25E-4 ;  ;  ;  ;  ; 3.558011 ;  ; 
1.375E-4 ;  ;  ;  ;  ; 3.39243 ;  ; 
1.5E-4 ;  ;  ;  ;  ; 3.248004 ;  ; 
1.625E-4 ;  ;  ;  ;  ; 3.120581 ;  ; 
1.75E-4 ;  ;  ;  ;  ; 3.007067 ;  ; 
1.875E-4 ;  ;  ;  ;  ; 2.905102 ;  ; 
2.0E-4 ;  ;  ;  ;  ; 2.812852 ;  ; 
2.1875E-4 ;  ;  ;  ;  ; 2.6896 ;  ; 
2.375E-4 ;  ;  ;  ;  ; 2.581248 ;  ; 
2.5625E-4 ;  ;  ;  ;  ; 2.485018 ;  ; 
2.75E-4 ;  ;  ;  ;  ; 2.398805 ;  ; 
2.9375E-4 ;  ;  ;  ;  ; 2.320984 ;  ; 
3.125E-4 ;  ;  ;  ;  ; 2.250277 ;  ; 
3.3125E-4 ;  ;  ;  ;  ; 2.185661 ;  ; 
3.5E-4 ;  ;  ;  ;  ; 2.12631 ;  ; 
3.875E-4 ;  ;  ;  ;  ; 2.020805 ;  ; 
4.25E-4 ;  ;  ;  ;  ; 1.929592 ;  ; 
4.625E-4 ;  ;  ;  ;  ; 1.849711 ;  ; 
5.0E-4 ;  ;  ;  ;  ; 1.778994 ;  ; 
5.3125E-4 ;  ;  ;  ;  ; 1.725877 ;  ; 
5.625E-4 ;  ;  ;  ;  ; 1.67725 ;  ; 
5.9375E-4 ;  ;  ;  ;  ; 1.632515 ;  ; 
6.25E-4 ;  ;  ;  ;  ; 1.591178 ;  ; 
6.875E-4 ;  ;  ;  ;  ; 1.517128 ;  ; 
7.5E-4 ;  ;  ;  ;  ; 1.452539 ;  ; 
8.125E-4 ;  ;  ;  ;  ; 1.395554 ;  ; 
8.75E-4 ;  ;  ;  ;  ; 1.34479 ;  ; 
9.375E-4 ;  ;  ;  ;  ; 1.29919 ;  ; 
0.001 ;  ;  ;  ;  ; 1.257936 ;  ; 
0.0010625 ;  ;  ;  ;  ; 1.220378 ;  ; 
0.001125 ;  ;  ;  ;  ; 1.185994 ;  ; 
0.0011875 ;  ;  ;  ;  ; 1.154363 ;  ; 
0.00125 ;  ;  ;  ;  ; 1.125134 ;  ; 
0.001375 ;  ;  ;  ;  ; 1.072774 ;  ; 
0.0015 ;  ;  ;  ;  ; 1.027103 ;  ; 
0.001625 ;  ;  ;  ;  ; 0.9868096 ;  ; 
0.00175 ;  ;  ;  ;  ; 0.9509139 ;  ; 
0.001875 ;  ;  ;  ;  ; 0.9186706 ;  ; 
0.002 ;  ;  ;  ;  ; 0.8894995 ;  ; 
0.0021875 ;  ;  ;  ;  ; 0.8505253 ;  ; 
0.002375 ;  ;  ;  ;  ; 0.8162633 ;  ; 
0.0025625 ;  ;  ;  ;  ; 0.7858346 ;  ; 
0.00275 ;  ;  ;  ;  ; 0.7585741 ;  ; 
0.0029375 ;  ;  ;  ;  ; 0.7339672 ;  ; 
0.003125 ;  ;  ;  ;  ; 0.7116095 ;  ; 
0.0033125 ;  ;  ;  ;  ; 0.6911778 ;  ; 
0.0035 ;  ;  ;  ;  ; 0.6724102 ;  ; 
0.003875 ;  ;  ;  ;  ; 0.6390464 ;  ; 
0.00425 ;  ;  ;  ;  ; 0.6102001 ;  ; 
0.004625 ;  ;  ;  ;  ; 0.5849366 ;  ; 
0.005 ;  ;  ;  ;  ; 0.5625715 ;  ; 
0.0053125 ;  ;  ;  ;  ; 0.5457733 ;  ; 
0.005625 ;  ;  ;  ;  ; 0.5303958 ;  ; 
0.0059375 ;  ;  ;  ;  ; 0.5162494 ;  ; 
0.00625 ;  ;  ;  ;  ; 0.5031779 ;  ; 
0.006875 ;  ;  ;  ;  ; 0.4797604 ;  ; 
0.0075 ;  ;  ;  ;  ; 0.4593316 ;  ; 
0.008125 ;  ;  ;  ;  ; 0.4413047 ;  ; 
0.00875 ;  ;  ;  ;  ; 0.4252441 ;  ; 
0.009375 ;  ;  ;  ;  ; 0.4108187 ;  ; 
0.01 ;  ;  ;  ;  ; 0.3977707 ;  ; 
