Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 73059.71 ; 32434.42
1.0625E-5 ;  ;  ; 70878.36 ; 31465.93
1.125E-5 ;  ;  ; 68881.42 ; 30579.31
1.1875E-5 ;  ;  ; 67044.28 ; 29763.64
1.25E-5 ;  ;  ; 65346.71 ; 29009.94
1.375E-5 ;  ;  ; 62305.7 ; 27659.75
1.5E-5 ;  ;  ; 59653.22 ; 26482.07
1.625E-5 ;  ;  ; 57313.01 ; 25443.02
1.75E-5 ;  ;  ; 55228.25 ; 24517.39
1.875E-5 ;  ;  ; 53355.61 ; 23685.93
2.0E-5 ;  ;  ; 51661.39 ; 22933.69
2.1875E-5 ;  ;  ; 49397.8 ; 21928.63
2.375E-5 ;  ;  ; 47407.88 ; 21045.08
2.5625E-5 ;  ;  ; 45640.56 ; 20260.36
2.75E-5 ;  ;  ; 44057.23 ; 19557.33
2.9375E-5 ;  ;  ; 42628.02 ; 18922.73
3.125E-5 ;  ;  ; 41329.45 ; 18346.13
3.3125E-5 ;  ;  ; 40142.77 ; 17819.2
3.5E-5 ;  ;  ; 39052.77 ; 17335.2
3.875E-5 ;  ;  ; 37115.15 ; 16474.82
4.25E-5 ;  ;  ; 35440.0 ; 15730.97
4.625E-5 ;  ;  ; 33972.97 ; 15079.52
5.0E-5 ;  ;  ; 32674.24 ; 14502.81
5.3125E-5 ;  ;  ; 31698.74 ; 14069.61
5.625E-5 ;  ;  ; 30805.71 ; 13673.04
5.9375E-5 ;  ;  ; 29984.14 ; 13308.19
6.25E-5 ;  ;  ; 29224.99 ; 12971.06
6.875E-5 ;  ;  ; 27865.06 ; 12367.11
7.5E-5 ;  ;  ; 26678.88 ; 11840.31
8.125E-5 ;  ;  ; 25632.35 ; 11375.52
8.75E-5 ;  ;  ; 24700.06 ; 10961.45
9.375E-5 ;  ;  ; 23862.63 ; 10589.5
1.0E-4 ;  ;  ; 23104.99 ; 10252.98
1.0625E-4 ;  ;  ; 22415.23 ; 9946.604
1.125E-4 ;  ;  ; 21783.78 ; 9666.119
1.1875E-4 ;  ;  ; 21202.87 ; 9408.073
1.25E-4 ;  ;  ; 20666.09 ; 9169.625
1.375E-4 ;  ;  ; 19704.51 ; 8742.455
1.5E-4 ;  ;  ; 18865.79 ; 8369.842
1.625E-4 ;  ;  ; 18125.82 ; 8041.079
1.75E-4 ;  ;  ; 17466.62 ; 7748.186
1.875E-4 ;  ;  ; 16874.5 ; 7485.081
2.0E-4 ;  ;  ; 16338.8 ; 7247.032
2.1875E-4 ;  ;  ; 15623.07 ; 6928.962
2.375E-4 ;  ;  ; 14993.87 ; 6649.322
2.5625E-4 ;  ;  ; 14435.07 ; 6400.946
2.75E-4 ;  ;  ; 13934.45 ; 6178.409
2.9375E-4 ;  ;  ; 13482.56 ; 5977.519
3.125E-4 ;  ;  ; 13071.98 ; 5794.978
3.3125E-4 ;  ;  ; 12696.78 ; 5628.15
3.5E-4 ;  ;  ; 12352.15 ; 5474.902
3.875E-4 ;  ;  ; 11739.53 ; 5202.452
4.25E-4 ;  ;  ; 11209.92 ; 4966.873
4.625E-4 ;  ;  ; 10746.1 ; 4760.528
5.0E-4 ;  ;  ; 10335.51 ; 4577.828
5.3125E-4 ;  ;  ; 10027.11 ; 4440.58
5.625E-4 ;  ;  ; 9744.789 ; 4314.918
5.9375E-4 ;  ;  ; 9485.066 ; 4199.298
6.25E-4 ;  ;  ; 9245.08 ; 4092.449
6.875E-4 ;  ;  ; 8815.187 ; 3901.006
7.5E-4 ;  ;  ; 8440.238 ; 3733.983
8.125E-4 ;  ;  ; 8109.449 ; 3586.589
8.75E-4 ;  ;  ; 7814.785 ; 3455.253
9.375E-4 ;  ;  ; 7550.116 ; 3337.253
0.001 ;  ;  ; 7310.679 ; 3230.471
0.0010625 ;  ;  ; 7092.705 ; 3133.233
0.001125 ;  ;  ; 6893.168 ; 3044.195
0.0011875 ;  ;  ; 6709.609 ; 2962.262
0.00125 ;  ;  ; 6540.003 ; 2886.536
0.001375 ;  ;  ; 6236.191 ; 2750.832
0.0015 ;  ;  ; 5971.217 ; 2632.408
0.001625 ;  ;  ; 5737.454 ; 2527.873
0.00175 ;  ;  ; 5529.221 ; 2434.703
0.001875 ;  ;  ; 5342.189 ; 2350.971
0.002 ;  ;  ; 5172.991 ; 2275.18
0.0021875 ;  ;  ; 4946.958 ; 2173.86
0.002375 ;  ;  ; 4748.285 ; 2084.73
0.0025625 ;  ;  ; 4571.875 ; 2005.52
0.00275 ;  ;  ; 4413.866 ; 1934.514
0.0029375 ;  ;  ; 4271.271 ; 1870.382
0.003125 ;  ;  ; 4141.738 ; 1812.075
0.0033125 ;  ;  ; 4023.386 ; 1758.758
0.0035 ;  ;  ; 3914.691 ; 1709.751
0.003875 ;  ;  ; 3721.489 ; 1622.537
0.00425 ;  ;  ; 3554.474 ; 1547.022
0.004625 ;  ;  ; 3408.232 ; 1480.794
0.005 ;  ;  ; 3278.815 ; 1422.091
0.0053125 ;  ;  ; 3181.658 ; 1377.957
0.005625 ;  ;  ; 3092.763 ; 1337.523
0.0059375 ;  ;  ; 3011.025 ; 1300.295
0.00625 ;  ;  ; 2935.532 ; 1265.867
0.006875 ;  ;  ; 2800.353 ; 1204.103
0.0075 ;  ;  ; 2682.484 ; 1150.11
0.008125 ;  ;  ; 2578.52 ; 1102.368
0.00875 ;  ;  ; 2485.952 ; 1059.753
0.009375 ;  ;  ; 2402.873 ; 1021.413
0.01 ;  ;  ; 2327.796 ; 986.6804
0.010625 ;  ;  ; 2259.541 ; 955.0276
0.01125 ;  ;  ; 2197.151 ; 926.0254
0.011875 ;  ;  ; 2139.837 ; 899.3196
0.0125 ;  ;  ; 2086.94 ; 874.6141
0.01375 ;  ;  ; 1992.282 ; 830.2538
0.015 ;  ;  ; 1909.792 ; 791.4213
0.01625 ;  ;  ; 1837.11 ; 757.0542
0.0175 ;  ;  ; 1772.499 ; 726.3697
0.01875 ;  ;  ; 1714.614 ; 698.7603
0.02 ;  ;  ; 1662.39 ; 673.7452
