Incident energy ; MT=16 : (z,2n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ; 0.4005411 ;  ; 1.964389E-7
1.0625E-5 ;  ; 0.3885819 ;  ; 1.905738E-7
1.125E-5 ;  ; 0.3776337 ;  ; 1.852044E-7
1.1875E-5 ;  ; 0.3675617 ;  ; 1.802647E-7
1.25E-5 ;  ; 0.3582548 ;  ; 1.757003E-7
1.375E-5 ;  ; 0.3415826 ;  ; 1.675237E-7
1.5E-5 ;  ; 0.3270404 ;  ; 1.603917E-7
1.625E-5 ;  ; 0.3142103 ;  ; 1.540994E-7
1.75E-5 ;  ; 0.3027806 ;  ; 1.484939E-7
1.875E-5 ;  ; 0.2925138 ;  ; 1.434587E-7
2.0E-5 ;  ; 0.2832253 ;  ; 1.389033E-7
2.18102E-5 ;  ; 0.2712172 ;  ; 1.330142E-7
2.1875E-5 ;  ; 0.2708152 ;  ; 1.32817E-7
2.205079E-5 ;  ; 0.2697336 ;  ; 1.322865E-7
2.222657E-5 ;  ; 0.2686648 ;  ; 1.317624E-7
2.257813E-5 ;  ; 0.266565 ;  ; 1.307325E-7
2.328125E-5 ;  ; 0.2625088 ;  ; 1.287433E-7
2.46875E-5 ;  ; 0.2549227 ;  ; 1.250228E-7
2.609375E-5 ;  ; 0.2479584 ;  ; 1.216072E-7
2.75E-5 ;  ; 0.2415354 ;  ; 1.184572E-7
2.9375E-5 ;  ; 0.2336997 ;  ; 1.146143E-7
3.125E-5 ;  ; 0.2265802 ;  ; 1.111227E-7
3.3125E-5 ;  ; 0.2200742 ;  ; 1.079319E-7
3.5E-5 ;  ; 0.2140982 ;  ; 1.050011E-7
3.75E-5 ;  ; 0.2068385 ;  ; 1.014407E-7
4.0E-5 ;  ; 0.2002705 ;  ; 9.821952E-8
4.25E-5 ;  ; 0.194291 ;  ; 9.528693E-8
4.625E-5 ;  ; 0.1862478 ;  ; 9.13423E-8
5.0E-5 ;  ; 0.1791274 ;  ; 8.785022E-8
5.3125E-5 ;  ; 0.1737791 ;  ; 8.522724E-8
5.625E-5 ;  ; 0.1688829 ;  ; 8.282599E-8
5.9375E-5 ;  ; 0.1643786 ;  ; 8.06169E-8
6.25E-5 ;  ; 0.1602164 ;  ; 7.857564E-8
6.875E-5 ;  ; 0.1527604 ;  ; 7.491894E-8
7.5E-5 ;  ; 0.1462569 ;  ; 7.172943E-8
8.0E-5 ;  ; 0.1416126 ;  ; 6.945172E-8
8.72406E-5 ;  ; 0.1356087 ;  ; 6.650721E-8
8.75E-5 ;  ; 0.1354076 ;  ; 6.640856E-8
8.828125E-5 ;  ; 0.1348071 ;  ; 6.611406E-8
8.90625E-5 ;  ; 0.1342145 ;  ; 6.582345E-8
9.0625E-5 ;  ; 0.1330525 ;  ; 6.525354E-8
9.375E-5 ;  ; 0.1308162 ;  ; 6.415676E-8
1.0E-4 ;  ; 0.1266622 ;  ; 6.211952E-8
1.0625E-4 ;  ; 0.1228804 ;  ; 6.026479E-8
1.125E-4 ;  ; 0.1194183 ;  ; 5.856686E-8
1.1875E-4 ;  ; 0.1162332 ;  ; 5.70048E-8
1.25E-4 ;  ; 0.1132901 ;  ; 5.556141E-8
1.375E-4 ;  ; 0.1080179 ;  ; 5.297573E-8
1.5E-4 ;  ; 0.1034192 ;  ; 5.07204E-8
1.6E-4 ;  ; 0.1001352 ;  ; 4.910982E-8
1.74481E-4 ;  ; 0.09588989 ;  ; 4.702776E-8
1.75E-4 ;  ; 0.09574759 ;  ; 4.695798E-8
1.765625E-4 ;  ; 0.09532299 ;  ; 4.674974E-8
1.78125E-4 ;  ; 0.09490399 ;  ; 4.654425E-8
1.8125E-4 ;  ; 0.09408229 ;  ; 4.614126E-8
1.875E-4 ;  ; 0.09250096 ;  ; 4.536572E-8
2.0E-4 ;  ; 0.08956367 ;  ; 4.392518E-8
2.173978E-4 ;  ; 0.08590516 ;  ; 4.213092E-8
2.347955E-4 ;  ; 0.08266124 ;  ; 4.054E-8
2.521933E-4 ;  ; 0.07975905 ;  ; 3.911667E-8
2.69591E-4 ;  ; 0.07714256 ;  ; 3.783345E-8
2.75E-4 ;  ; 0.07638012 ;  ; 3.745953E-8
2.8625E-4 ;  ; 0.07486416 ;  ; 3.671605E-8
2.975E-4 ;  ; 0.07343501 ;  ; 3.601515E-8
3.2E-4 ;  ; 0.07080625 ;  ; 3.472592E-8
3.48962E-4 ;  ; 0.06780434 ;  ; 3.325368E-8
3.5E-4 ;  ; 0.06770372 ;  ; 3.320433E-8
3.523438E-4 ;  ; 0.06747816 ;  ; 3.309371E-8
3.546875E-4 ;  ; 0.06725485 ;  ; 3.298419E-8
3.59375E-4 ;  ; 0.06681479 ;  ; 3.276837E-8
3.6875E-4 ;  ; 0.06595997 ;  ; 3.234914E-8
3.875E-4 ;  ; 0.06434438 ;  ; 3.15568E-8
4.25E-4 ;  ; 0.0614401 ;  ; 3.013245E-8
4.625E-4 ;  ; 0.05889663 ;  ; 2.888505E-8
5.0E-4 ;  ; 0.05664495 ;  ; 2.778075E-8
5.3125E-4 ;  ; 0.05495367 ;  ; 2.695129E-8
5.625E-4 ;  ; 0.05340536 ;  ; 2.619194E-8
5.9375E-4 ;  ; 0.05198095 ;  ; 2.549337E-8
6.25E-4 ;  ; 0.05066475 ;  ; 2.484786E-8
6.4E-4 ;  ; 0.0500675 ;  ; 2.455495E-8
6.95E-4 ;  ; 0.04804557 ;  ; 2.356333E-8
7.5E-4 ;  ; 0.04625035 ;  ; 2.268289E-8
8.125E-4 ;  ; 0.04443589 ;  ; 2.179302E-8
8.75E-4 ;  ; 0.04281948 ;  ; 2.100028E-8
9.375E-4 ;  ; 0.04136753 ;  ; 2.02882E-8
0.001 ;  ; 0.04005393 ;  ; 1.964396E-8
0.0010625 ;  ; 0.038858 ;  ; 1.905745E-8
0.001125 ;  ; 0.03776318 ;  ; 1.852051E-8
0.0011875 ;  ; 0.03675597 ;  ; 1.802654E-8
0.00125 ;  ; 0.03582527 ;  ; 1.75701E-8
0.00128 ;  ; 0.03540295 ;  ; 1.736298E-8
