Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.005 ;  ;  ;  ;  ; 0.001975426 ;  ; 
0.0053125 ;  ;  ;  ;  ; 0.001916441 ;  ; 
0.005625 ;  ;  ;  ;  ; 0.001862443 ;  ; 
0.0059375 ;  ;  ;  ;  ; 0.001812765 ;  ; 
0.00625 ;  ;  ;  ;  ; 0.00176686 ;  ; 
0.006875 ;  ;  ;  ;  ; 0.001684624 ;  ; 
0.0075 ;  ;  ;  ;  ; 0.001612891 ;  ; 
0.008125 ;  ;  ;  ;  ; 0.0015496 ;  ; 
0.00875 ;  ;  ;  ;  ; 0.00149322 ;  ; 
0.009375 ;  ;  ;  ;  ; 0.001442579 ;  ; 
0.01 ;  ;  ;  ;  ; 0.00139677 ;  ; 
0.010625 ;  ;  ;  ;  ; 0.001355071 ;  ; 
0.01125 ;  ;  ;  ;  ; 0.001316902 ;  ; 
0.011875 ;  ;  ;  ;  ; 0.00128179 ;  ; 
0.0125 ;  ;  ;  ;  ; 0.001249347 ;  ; 
0.01375 ;  ;  ;  ;  ; 0.001191221 ;  ; 
0.015 ;  ;  ;  ;  ; 0.001140505 ;  ; 
0.01625 ;  ;  ;  ;  ; 0.001095744 ;  ; 
0.0175 ;  ;  ;  ;  ; 0.00105586 ;  ; 
0.01875 ;  ;  ;  ;  ; 0.001020032 ;  ; 
0.02 ;  ;  ;  ;  ; 9.876212E-4 ;  ; 
0.021325 ;  ;  ;  ;  ; 9.564353E-4 ;  ; 
0.02265 ;  ;  ;  ;  ; 9.280398E-4 ;  ; 
0.023975 ;  ;  ;  ;  ; 9.020457E-4 ;  ; 
0.0253 ;  ;  ;  ;  ; 8.781343E-4 ;  ; 
0.02684375 ;  ;  ;  ;  ; 8.52551E-4 ;  ; 
0.0283875 ;  ;  ;  ;  ; 8.29087E-4 ;  ; 
0.031475 ;  ;  ;  ;  ; 7.874248E-4 ;  ; 
0.0345625 ;  ;  ;  ;  ; 7.514277E-4 ;  ; 
0.03765 ;  ;  ;  ;  ; 7.19924E-4 ;  ; 
0.0407375 ;  ;  ;  ;  ; 6.920666E-4 ;  ; 
0.043825 ;  ;  ;  ;  ; 6.672109E-4 ;  ; 
0.0469125 ;  ;  ;  ;  ; 6.448565E-4 ;  ; 
0.05 ;  ;  ;  ;  ; 6.246126E-4 ;  ; 
0.053125 ;  ;  ;  ;  ; 6.059573E-4 ;  ; 
0.05625 ;  ;  ;  ;  ; 5.888946E-4 ;  ; 
0.059375 ;  ;  ;  ;  ; 5.732144E-4 ;  ; 
0.0625 ;  ;  ;  ;  ; 5.58735E-4 ;  ; 
0.06875 ;  ;  ;  ;  ; 5.32777E-4 ;  ; 
0.075 ;  ;  ;  ;  ; 5.100858E-4 ;  ; 
0.08125 ;  ;  ;  ;  ; 4.900477E-4 ;  ; 
0.0875 ;  ;  ;  ;  ; 4.721979E-4 ;  ; 
0.09375 ;  ;  ;  ;  ; 4.561677E-4 ;  ; 
0.1 ;  ;  ;  ;  ; 4.416678E-4 ;  ; 
0.10625 ;  ;  ;  ;  ; 4.284706E-4 ;  ; 
0.1125 ;  ;  ;  ;  ; 4.163984E-4 ;  ; 
0.11875 ;  ;  ;  ;  ; 4.053128E-4 ;  ; 
0.125 ;  ;  ;  ;  ; 3.950894E-4 ;  ; 
0.1375 ;  ;  ;  ;  ; 3.767475E-4 ;  ; 
0.15 ;  ;  ;  ;  ; 3.606904E-4 ;  ; 
0.1625 ;  ;  ;  ;  ; 3.465184E-4 ;  ; 
0.175 ;  ;  ;  ;  ; 3.338973E-4 ;  ; 
0.1875 ;  ;  ;  ;  ; 3.225715E-4 ;  ; 
0.2 ;  ;  ;  ;  ; 3.123526E-4 ;  ; 
0.21875 ;  ;  ;  ;  ; 2.986863E-4 ;  ; 
0.2375 ;  ;  ;  ;  ; 2.866373E-4 ;  ; 
0.25625 ;  ;  ;  ;  ; 2.759367E-4 ;  ; 
0.275 ;  ;  ;  ;  ; 2.663524E-4 ;  ; 
