Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 2004.538 ; 82161.2
1.0625E-5 ;  ;  ; 1944.693 ; 79707.98
1.125E-5 ;  ;  ; 1889.907 ; 77462.15
1.1875E-5 ;  ;  ; 1839.506 ; 75396.04
1.25E-5 ;  ;  ; 1792.933 ; 73486.89
1.375E-5 ;  ;  ; 1709.504 ; 70066.84
1.5E-5 ;  ;  ; 1636.735 ; 67083.74
1.625E-5 ;  ;  ; 1572.532 ; 64451.83
1.75E-5 ;  ;  ; 1515.338 ; 62107.21
1.875E-5 ;  ;  ; 1463.964 ; 60001.13
2.0E-5 ;  ;  ; 1417.484 ; 58095.72
2.1875E-5 ;  ;  ; 1355.385 ; 55549.95
2.375E-5 ;  ;  ; 1300.794 ; 53311.94
2.5625E-5 ;  ;  ; 1252.31 ; 51324.3
2.75E-5 ;  ;  ; 1208.873 ; 49543.56
2.9375E-5 ;  ;  ; 1169.665 ; 47936.16
3.125E-5 ;  ;  ; 1134.041 ; 46475.69
3.3125E-5 ;  ;  ; 1101.487 ; 45141.03
3.5E-5 ;  ;  ; 1071.585 ; 43915.12
3.875E-5 ;  ;  ; 1018.43 ; 41735.88
4.25E-5 ;  ;  ; 972.4766 ; 39851.83
4.625E-5 ;  ;  ; 932.2324 ; 38201.84
5.0E-5 ;  ;  ; 896.6056 ; 36741.14
5.3125E-5 ;  ;  ; 869.8456 ; 35643.96
5.625E-5 ;  ;  ; 845.3481 ; 34639.54
5.9375E-5 ;  ;  ; 822.8111 ; 33715.49
6.25E-5 ;  ;  ; 801.9864 ; 32861.64
6.875E-5 ;  ;  ; 764.6817 ; 31332.05
7.5E-5 ;  ;  ; 732.1435 ; 29997.88
8.125E-5 ;  ;  ; 703.4362 ; 28820.77
8.75E-5 ;  ;  ; 677.8628 ; 27772.14
9.375E-5 ;  ;  ; 654.8916 ; 26830.2
1.0E-4 ;  ;  ; 634.1092 ; 25978.01
1.0625E-4 ;  ;  ; 615.1889 ; 25202.15
1.125E-4 ;  ;  ; 597.8681 ; 24491.89
1.1875E-4 ;  ;  ; 581.9335 ; 23838.46
1.25E-4 ;  ;  ; 567.2096 ; 23234.67
1.375E-4 ;  ;  ; 540.8334 ; 22153.04
1.5E-4 ;  ;  ; 517.8272 ; 21209.6
1.625E-4 ;  ;  ; 497.5297 ; 20377.23
1.75E-4 ;  ;  ; 479.4477 ; 19635.71
1.875E-4 ;  ;  ; 463.2055 ; 18969.64
2.0E-4 ;  ;  ; 448.5109 ; 18367.03
2.1875E-4 ;  ;  ; 428.8778 ; 17561.89
2.375E-4 ;  ;  ; 411.618 ; 16854.1
2.5625E-4 ;  ;  ; 396.289 ; 16225.48
2.75E-4 ;  ;  ; 382.5556 ; 15662.31
2.9375E-4 ;  ;  ; 370.1589 ; 15153.95
3.125E-4 ;  ;  ; 358.8952 ; 14692.07
3.3125E-4 ;  ;  ; 348.6017 ; 14269.98
3.5E-4 ;  ;  ; 339.1468 ; 13882.28
3.875E-4 ;  ;  ; 322.3389 ; 13193.09
4.25E-4 ;  ;  ; 307.8073 ; 12597.27
4.625E-4 ;  ;  ; 295.0806 ; 12075.47
5.0E-4 ;  ;  ; 283.8136 ; 11613.54
5.3125E-4 ;  ;  ; 275.3504 ; 11266.58
5.625E-4 ;  ;  ; 267.6025 ; 10948.95
5.9375E-4 ;  ;  ; 260.4744 ; 10656.75
6.25E-4 ;  ;  ; 253.8877 ; 10386.75
6.875E-4 ;  ;  ; 242.088 ; 9903.078
7.5E-4 ;  ;  ; 231.7954 ; 9481.216
8.125E-4 ;  ;  ; 222.7142 ; 9109.03
8.75E-4 ;  ;  ; 214.624 ; 8777.482
9.375E-4 ;  ;  ; 207.3567 ; 8479.676
0.001 ;  ;  ; 200.7817 ; 8210.254
0.0010625 ;  ;  ; 194.7956 ; 7964.975
0.001125 ;  ;  ; 189.3154 ; 7740.437
0.0011875 ;  ;  ; 184.2735 ; 7533.872
0.00125 ;  ;  ; 179.6146 ; 7343.003
0.001375 ;  ;  ; 171.2681 ; 7001.088
0.0015 ;  ;  ; 163.9875 ; 6702.861
0.001625 ;  ;  ; 157.5635 ; 6439.743
0.00175 ;  ;  ; 151.8403 ; 6205.345
0.001875 ;  ;  ; 146.699 ; 5994.796
0.002 ;  ;  ; 142.0473 ; 5804.309
0.0021875 ;  ;  ; 135.8319 ; 5549.809
0.002375 ;  ;  ; 130.3677 ; 5326.088
0.0025625 ;  ;  ; 125.5148 ; 5127.411
0.00275 ;  ;  ; 121.1672 ; 4949.433
0.0029375 ;  ;  ; 117.2429 ; 4788.796
0.003125 ;  ;  ; 113.6773 ; 4642.852
0.0033125 ;  ;  ; 110.4189 ; 4509.487
0.0035 ;  ;  ; 107.4256 ; 4386.984
0.003875 ;  ;  ; 102.1037 ; 4169.193
0.00425 ;  ;  ; 97.50113 ; 3980.862
0.004625 ;  ;  ; 93.46936 ; 3815.901
0.005 ;  ;  ; 89.89993 ; 3669.87
0.0053125 ;  ;  ; 87.21917 ; 3560.203
0.005625 ;  ;  ; 84.76547 ; 3459.832
0.0059375 ;  ;  ; 82.5085 ; 3367.513
0.00625 ;  ;  ; 80.42315 ; 3282.22
0.006875 ;  ;  ; 76.68701 ; 3129.418
0.0075 ;  ;  ; 73.42673 ; 2996.091
0.008125 ;  ;  ; 70.54878 ; 2878.41
0.00875 ;  ;  ; 67.98417 ; 2773.551
0.009375 ;  ;  ; 65.68048 ; 2679.366
0.01 ;  ;  ; 63.59683 ; 2594.184
0.010625 ;  ;  ; 61.70077 ; 2516.676
0.01125 ;  ;  ; 59.96601 ; 2445.766
0.011875 ;  ;  ; 58.37083 ; 2380.566
0.0125 ;  ;  ; 56.89712 ; 2320.334
0.01375 ;  ;  ; 54.25597 ; 2212.396
0.015 ;  ;  ; 51.9494 ; 2118.141
0.01625 ;  ;  ; 49.91251 ; 2034.913
0.0175 ;  ;  ; 48.09748 ; 1960.757
0.01875 ;  ;  ; 46.4673 ; 1894.158
0.02 ;  ;  ; 44.99267 ; 1833.921
