Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 754.4241 ; 64918.62
1.0625E-5 ;  ;  ; 731.8991 ; 62980.3
1.125E-5 ;  ;  ; 711.2784 ; 61205.85
1.1875E-5 ;  ;  ; 692.3078 ; 59573.4
1.25E-5 ;  ;  ; 674.7784 ; 58064.96
1.375E-5 ;  ;  ; 643.3764 ; 55362.77
1.5E-5 ;  ;  ; 615.9864 ; 53005.81
1.625E-5 ;  ;  ; 591.821 ; 50926.33
1.75E-5 ;  ;  ; 570.2934 ; 49073.83
1.875E-5 ;  ;  ; 550.9561 ; 47409.82
2.0E-5 ;  ;  ; 533.4613 ; 45904.36
2.1875E-5 ;  ;  ; 510.0871 ; 43892.96
2.375E-5 ;  ;  ; 489.5387 ; 42124.72
2.5625E-5 ;  ;  ; 471.2891 ; 40554.3
2.75E-5 ;  ;  ; 454.9392 ; 39147.35
2.9375E-5 ;  ;  ; 440.1809 ; 37877.36
3.125E-5 ;  ;  ; 426.7717 ; 36723.46
3.3125E-5 ;  ;  ; 414.5177 ; 35668.98
3.5E-5 ;  ;  ; 403.2621 ; 34700.4
3.875E-5 ;  ;  ; 383.2538 ; 32978.63
4.25E-5 ;  ;  ; 365.9558 ; 31490.09
4.625E-5 ;  ;  ; 350.8068 ; 30186.47
5.0E-5 ;  ;  ; 337.3958 ; 29032.41
5.3125E-5 ;  ;  ; 327.3225 ; 28165.57
5.625E-5 ;  ;  ; 318.1008 ; 27372.01
5.9375E-5 ;  ;  ; 309.6171 ; 26641.95
6.25E-5 ;  ;  ; 301.7778 ; 25967.36
6.875E-5 ;  ;  ; 287.7347 ; 24758.89
7.5E-5 ;  ;  ; 275.4858 ; 23704.83
8.125E-5 ;  ;  ; 264.6789 ; 22774.85
8.75E-5 ;  ;  ; 255.0516 ; 21946.39
9.375E-5 ;  ;  ; 246.4039 ; 21202.21
1.0E-4 ;  ;  ; 238.5802 ; 20528.95
1.0625E-4 ;  ;  ; 231.4574 ; 19915.99
1.125E-4 ;  ;  ; 224.9367 ; 19354.86
1.1875E-4 ;  ;  ; 218.9378 ; 18838.63
1.25E-4 ;  ;  ; 213.3947 ; 18361.62
1.375E-4 ;  ;  ; 203.4647 ; 17507.1
1.5E-4 ;  ;  ; 194.8035 ; 16761.75
1.625E-4 ;  ;  ; 187.1619 ; 16104.16
1.75E-4 ;  ;  ; 180.3544 ; 15518.34
1.875E-4 ;  ;  ; 174.2396 ; 14992.13
2.0E-4 ;  ;  ; 168.7073 ; 14516.05
2.1875E-4 ;  ;  ; 161.3159 ; 13879.98
2.375E-4 ;  ;  ; 154.818 ; 13320.8
2.5625E-4 ;  ;  ; 149.047 ; 12824.18
2.75E-4 ;  ;  ; 143.8767 ; 12379.25
2.9375E-4 ;  ;  ; 139.2097 ; 11977.63
3.125E-4 ;  ;  ; 134.9693 ; 11612.73
3.3125E-4 ;  ;  ; 131.0942 ; 11279.26
3.5E-4 ;  ;  ; 127.5348 ; 10972.96
3.875E-4 ;  ;  ; 121.2075 ; 10428.47
4.25E-4 ;  ;  ; 115.7372 ; 9957.73
4.625E-4 ;  ;  ; 110.9465 ; 9545.474
5.0E-4 ;  ;  ; 106.7054 ; 9180.513
5.3125E-4 ;  ;  ; 103.5198 ; 8906.382
5.625E-4 ;  ;  ; 100.6034 ; 8655.426
5.9375E-4 ;  ;  ; 97.92049 ; 8424.553
6.25E-4 ;  ;  ; 95.44136 ; 8211.221
6.875E-4 ;  ;  ; 91.00027 ; 7829.061
7.5E-4 ;  ;  ; 87.1266 ; 7495.73
8.125E-4 ;  ;  ; 83.70899 ; 7201.646
8.75E-4 ;  ;  ; 80.66446 ; 6939.666
9.375E-4 ;  ;  ; 77.92972 ; 6704.345
0.001 ;  ;  ; 75.45557 ; 6491.449
0.0010625 ;  ;  ; 73.20309 ; 6297.628
0.001125 ;  ;  ; 71.14103 ; 6120.194
0.0011875 ;  ;  ; 69.24399 ; 5956.96
0.00125 ;  ;  ; 67.49107 ; 5806.128
0.001375 ;  ;  ; 64.35088 ; 5535.927
0.0015 ;  ;  ; 61.61183 ; 5300.246
0.001625 ;  ;  ; 59.19517 ; 5092.306
0.00175 ;  ;  ; 57.04224 ; 4907.06
0.001875 ;  ;  ; 55.1083 ; 4740.657
0.002 ;  ;  ; 53.35858 ; 4590.107
0.0021875 ;  ;  ; 51.02082 ; 4388.962
0.002375 ;  ;  ; 48.96571 ; 4212.138
0.0025625 ;  ;  ; 47.1406 ; 4055.105
0.00275 ;  ;  ; 45.5056 ; 3914.43
0.0029375 ;  ;  ; 44.02986 ; 3787.458
0.003125 ;  ;  ; 42.68908 ; 3672.1
0.0033125 ;  ;  ; 41.46382 ; 3566.681
0.0035 ;  ;  ; 40.33834 ; 3469.848
0.003875 ;  ;  ; 38.33735 ; 3297.688
0.00425 ;  ;  ; 36.60694 ; 3148.811
0.004625 ;  ;  ; 35.0912 ; 3018.405
0.005 ;  ;  ; 33.74936 ; 2902.96
0.0053125 ;  ;  ; 32.74164 ; 2816.262
0.005625 ;  ;  ; 31.81931 ; 2736.911
0.0059375 ;  ;  ; 30.97096 ; 2663.926
0.00625 ;  ;  ; 30.18715 ; 2596.493
0.006875 ;  ;  ; 28.78295 ; 2475.687
0.0075 ;  ;  ; 27.55765 ; 2370.274
0.008125 ;  ;  ; 26.4761 ; 2277.228
0.00875 ;  ;  ; 25.51235 ; 2194.318
0.009375 ;  ;  ; 24.64669 ; 2119.846
0.01 ;  ;  ; 23.86376 ; 2052.492
0.010625 ;  ;  ; 23.15134 ; 1991.205
0.01125 ;  ;  ; 22.49955 ; 1935.133
0.011875 ;  ;  ; 21.90024 ; 1883.577
0.0125 ;  ;  ; 21.34659 ; 1835.948
0.01375 ;  ;  ; 20.35438 ; 1750.594
0.015 ;  ;  ; 19.48791 ; 1676.057
0.01625 ;  ;  ; 18.72279 ; 1610.238
0.0175 ;  ;  ; 18.04104 ; 1551.592
0.01875 ;  ;  ; 17.42876 ; 1498.923
0.02 ;  ;  ; 16.87494 ; 1451.283
