Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 4077.438 ; 4090.467
1.0625E-5 ;  ;  ; 3955.69 ; 3968.329
1.125E-5 ;  ;  ; 3844.234 ; 3856.515
1.1875E-5 ;  ;  ; 3741.698 ; 3753.65
1.25E-5 ;  ;  ; 3646.95 ; 3658.598
1.375E-5 ;  ;  ; 3477.221 ; 3488.323
1.5E-5 ;  ;  ; 3329.176 ; 3339.803
1.625E-5 ;  ;  ; 3198.56 ; 3208.767
1.75E-5 ;  ;  ; 3082.201 ; 3092.034
1.875E-5 ;  ;  ; 2977.68 ; 2987.177
2.0E-5 ;  ;  ; 2883.118 ; 2892.311
2.1875E-5 ;  ;  ; 2756.777 ; 2765.563
2.375E-5 ;  ;  ; 2645.709 ; 2654.137
2.5625E-5 ;  ;  ; 2547.065 ; 2555.176
2.75E-5 ;  ;  ; 2458.69 ; 2466.516
2.9375E-5 ;  ;  ; 2378.917 ; 2386.487
3.125E-5 ;  ;  ; 2306.436 ; 2313.772
3.3125E-5 ;  ;  ; 2240.199 ; 2247.321
3.5E-5 ;  ;  ; 2179.358 ; 2186.284
3.875E-5 ;  ;  ; 2071.205 ; 2077.782
4.25E-5 ;  ;  ; 1977.702 ; 1983.976
4.625E-5 ;  ;  ; 1895.814 ; 1901.824
5.0E-5 ;  ;  ; 1823.32 ; 1829.095
5.3125E-5 ;  ;  ; 1768.867 ; 1774.466
5.625E-5 ;  ;  ; 1719.018 ; 1724.455
5.9375E-5 ;  ;  ; 1673.157 ; 1678.445
6.25E-5 ;  ;  ; 1630.78 ; 1635.931
6.875E-5 ;  ;  ; 1554.866 ; 1559.77
7.5E-5 ;  ;  ; 1488.649 ; 1493.338
8.125E-5 ;  ;  ; 1430.227 ; 1434.726
8.75E-5 ;  ;  ; 1378.182 ; 1382.51
9.375E-5 ;  ;  ; 1331.431 ; 1335.607
1.0E-4 ;  ;  ; 1289.134 ; 1293.171
1.0625E-4 ;  ;  ; 1250.626 ; 1254.537
1.125E-4 ;  ;  ; 1215.372 ; 1219.168
1.1875E-4 ;  ;  ; 1182.939 ; 1186.628
1.25E-4 ;  ;  ; 1152.97 ; 1156.56
1.375E-4 ;  ;  ; 1099.282 ; 1102.695
1.5E-4 ;  ;  ; 1052.451 ; 1055.71
1.625E-4 ;  ;  ; 1011.133 ; 1014.255
1.75E-4 ;  ;  ; 974.3239 ; 977.3235
1.875E-4 ;  ;  ; 941.2587 ; 944.1482
2.0E-4 ;  ;  ; 911.3431 ; 914.1327
2.1875E-4 ;  ;  ; 871.3723 ; 874.028
2.375E-4 ;  ;  ; 836.232 ; 838.7695
2.5625E-4 ;  ;  ; 805.0215 ; 807.4535
2.75E-4 ;  ;  ; 777.0586 ; 779.3958
2.9375E-4 ;  ;  ; 751.8165 ; 754.0678
3.125E-4 ;  ;  ; 728.8807 ; 731.0537
3.3125E-4 ;  ;  ; 707.92 ; 710.021
3.5E-4 ;  ;  ; 688.6661 ; 690.7008
3.875E-4 ;  ;  ; 654.4373 ; 656.3535
4.25E-4 ;  ;  ; 624.8424 ; 626.6554
4.625E-4 ;  ;  ; 598.9219 ; 600.6437
5.0E-4 ;  ;  ; 575.9729 ; 577.6135
5.3125E-4 ;  ;  ; 558.7341 ; 560.3131
5.625E-4 ;  ;  ; 542.9514 ; 544.4738
5.9375E-4 ;  ;  ; 528.4307 ; 529.9007
6.25E-4 ;  ;  ; 515.0121 ; 516.4334
6.875E-4 ;  ;  ; 490.9718 ; 492.305
7.5E-4 ;  ;  ; 470.0001 ; 471.2555
8.125E-4 ;  ;  ; 451.4948 ; 452.6808
8.75E-4 ;  ;  ; 435.0073 ; 436.1307
9.375E-4 ;  ;  ; 420.1954 ; 421.2619
0.001 ;  ;  ; 406.793 ; 407.8075
0.0010625 ;  ;  ; 394.5897 ; 395.5563
0.001125 ;  ;  ; 383.4164 ; 384.3387
0.0011875 ;  ;  ; 373.1359 ; 374.0169
0.00125 ;  ;  ; 363.635 ; 364.4775
0.001375 ;  ;  ; 346.6116 ; 347.3839
0.0015 ;  ;  ; 331.7586 ; 332.4684
0.001625 ;  ;  ; 318.6502 ; 319.3037
0.00175 ;  ;  ; 306.9689 ; 307.5713
0.001875 ;  ;  ; 296.4729 ; 297.0285
0.002 ;  ;  ; 286.9741 ; 287.4865
0.0021875 ;  ;  ; 274.2786 ; 274.7318
0.002375 ;  ;  ; 263.1133 ; 263.5131
0.0025625 ;  ;  ; 253.1935 ; 253.5446
0.00275 ;  ;  ; 244.3032 ; 244.6095
0.0029375 ;  ;  ; 236.2756 ; 236.5404
0.003125 ;  ;  ; 228.979 ; 229.2053
0.0033125 ;  ;  ; 222.3084 ; 222.4986
0.0035 ;  ;  ; 216.1785 ; 216.3347
0.003875 ;  ;  ; 205.2734 ; 205.3672
0.00425 ;  ;  ; 195.8353 ; 195.8727
0.004625 ;  ;  ; 187.5614 ; 187.5474
0.005 ;  ;  ; 180.2307 ; 180.1694
0.0053125 ;  ;  ; 174.7213 ; 174.6232
0.005625 ;  ;  ; 169.6754 ; 169.5425
0.0059375 ;  ;  ; 165.0312 ; 164.8654
0.00625 ;  ;  ; 160.7374 ; 160.5404
0.006875 ;  ;  ; 153.0375 ; 152.7822
0.0075 ;  ;  ; 146.31 ; 146.0011
0.008125 ;  ;  ; 140.3641 ; 140.0056
0.00875 ;  ;  ; 135.0591 ; 134.6544
0.009375 ;  ;  ; 130.2881 ; 129.84
0.01 ;  ;  ; 125.9676 ; 125.4786
0.010625 ;  ;  ; 122.0314 ; 121.5037
0.01125 ;  ;  ; 118.4257 ; 117.8612
0.011875 ;  ;  ; 115.1063 ; 114.5068
0.0125 ;  ;  ; 112.0362 ; 111.4031
0.01375 ;  ;  ; 106.5245 ; 105.8284
0.015 ;  ;  ; 101.7004 ; 100.9459
0.01625 ;  ;  ; 97.43092 ; 96.62188
0.0175 ;  ;  ; 93.61837 ; 92.75816
0.01875 ;  ;  ; 90.18687 ; 89.27842
0.02 ;  ;  ; 87.07645 ; 86.12233
