Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.0021875 ;  ;  ; 0.07061796 ;  ;  ; 827.9004 ; 
0.002375 ;  ;  ; 0.06777279 ;  ;  ; 792.9044 ; 
0.0025625 ;  ;  ; 0.06524597 ;  ;  ; 761.7726 ; 
0.00275 ;  ;  ; 0.06298235 ;  ;  ; 733.8384 ; 
0.0029375 ;  ;  ; 0.0609393 ;  ;  ; 708.5859 ; 
0.003125 ;  ;  ; 0.05908323 ;  ;  ; 685.609 ; 
0.0033125 ;  ;  ; 0.05738729 ;  ;  ; 664.5823 ; 
0.0035 ;  ;  ; 0.05582969 ;  ;  ; 645.2422 ; 
0.0036875 ;  ;  ; 0.05439257 ;  ;  ; 627.3722 ; 
0.003875 ;  ;  ; 0.05306113 ;  ;  ; 610.7926 ; 
0.00425 ;  ;  ; 0.0506677 ;  ;  ; 580.9281 ; 
0.004625 ;  ;  ; 0.04857161 ;  ;  ; 554.7045 ; 
0.005 ;  ;  ; 0.04671614 ;  ;  ; 531.4324 ; 
0.0053125 ;  ;  ; 0.04532269 ;  ;  ; 513.9165 ; 
0.005625 ;  ;  ; 0.04404732 ;  ;  ; 497.8539 ; 
0.0059375 ;  ;  ; 0.04287425 ;  ;  ; 483.0525 ; 
0.00625 ;  ;  ; 0.04179045 ;  ;  ; 469.3533 ; 
0.006875 ;  ;  ; 0.03984901 ;  ;  ; 444.7527 ; 
0.0075 ;  ;  ; 0.03815528 ;  ;  ; 423.2242 ; 
0.008125 ;  ;  ; 0.03666059 ;  ;  ; 404.1722 ; 
0.00875 ;  ;  ; 0.03532901 ;  ;  ; 387.1559 ; 
0.009375 ;  ;  ; 0.03413318 ;  ;  ; 371.8388 ; 
0.01 ;  ;  ; 0.03305173 ;  ;  ; 357.9581 ; 
0.010625 ;  ;  ; 0.03206772 ;  ;  ; 345.3047 ; 
0.01125 ;  ;  ; 0.03116754 ;  ;  ; 333.7105 ; 
0.011875 ;  ;  ; 0.0303401 ;  ;  ; 323.0379 ; 
0.0125 ;  ;  ; 0.0295762 ;  ;  ; 313.173 ; 
0.013125 ;  ;  ; 0.02886811 ;  ;  ; 304.0195 ; 
0.01375 ;  ;  ; 0.02820925 ;  ;  ; 295.4953 ; 
0.015 ;  ;  ; 0.0270177 ;  ;  ; 280.0656 ; 
0.01625 ;  ;  ; 0.02596638 ;  ;  ; 266.4433 ; 
0.0175 ;  ;  ; 0.02503003 ;  ;  ; 254.3106 ; 
0.01875 ;  ;  ; 0.02418967 ;  ;  ; 243.4279 ; 
0.02 ;  ;  ; 0.02343029 ;  ;  ; 233.6048 ; 
0.021325 ;  ;  ; 0.02270039 ;  ;  ; 224.1789 ; 
0.02265 ;  ;  ; 0.02203649 ;  ;  ; 215.6245 ; 
0.023975 ;  ;  ; 0.02142935 ;  ;  ; 207.8232 ; 
0.0253 ;  ;  ; 0.02087145 ;  ;  ; 200.6774 ; 
