Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
6.438855 ;  ;  ; 4.449369 ; 8.678012
6.482544 ;  ;  ; 4.812428 ; 9.615665
6.504389 ;  ;  ; 5.046085 ; 10.2231
6.526233 ;  ;  ; 5.324259 ; 10.94885
6.548078 ;  ;  ; 5.657357 ; 11.82056
6.569922 ;  ;  ; 6.058509 ; 12.87316
6.591766 ;  ;  ; 6.544802 ; 14.15215
6.61361 ;  ;  ; 7.139343 ; 15.71907
6.63417 ;  ;  ; 7.826458 ; 17.53323
6.654729 ;  ;  ; 8.675343 ; 19.77803
6.675289 ;  ;  ; 9.739713 ; 22.59667
6.695848 ;  ;  ; 11.09914 ; 26.20128
6.706128 ;  ;  ; 11.92572 ; 28.3949
6.716408 ;  ;  ; 12.87734 ; 30.92174
6.726688 ;  ;  ; 13.98162 ; 33.85545
6.736967 ;  ;  ; 15.27442 ; 37.29164
6.747247 ;  ;  ; 16.80367 ; 41.35811
6.757526 ;  ;  ; 18.63344 ; 46.22573
6.767806 ;  ;  ; 20.85281 ; 52.13201
6.778085 ;  ;  ; 23.58579 ; 59.40768
6.788365 ;  ;  ; 27.00982 ; 68.52586
6.798645 ;  ;  ; 31.37702 ; 80.15891
6.803785 ;  ;  ; 34.02091 ; 87.20278
6.808925 ;  ;  ; 37.0444 ; 95.25883
6.814065 ;  ;  ; 40.51367 ; 104.5036
6.819204 ;  ;  ; 44.50427 ; 115.1385
6.824344 ;  ;  ; 49.10469 ; 127.3995
6.829484 ;  ;  ; 54.41146 ; 141.544
6.834624 ;  ;  ; 60.53116 ; 157.8563
6.839764 ;  ;  ; 67.5776 ; 176.6397
6.844904 ;  ;  ; 75.66848 ; 198.2083
6.850044 ;  ;  ; 84.9206 ; 222.8735
6.855184 ;  ;  ; 95.44346 ; 250.9272
6.860323 ;  ;  ; 107.3288 ; 282.6141
6.866748 ;  ;  ; 124.2102 ; 327.6221
6.873173 ;  ;  ; 143.3858 ; 378.7475
6.879598 ;  ;  ; 164.7919 ; 435.8209
6.886022 ;  ;  ; 188.2113 ; 498.2631
6.892447 ;  ;  ; 213.2644 ; 565.0616
6.898872 ;  ;  ; 239.3758 ; 634.6823
6.911721 ;  ;  ; 291.611 ; 773.9559
6.920416 ;  ;  ; 323.7942 ; 859.7639
6.929111 ;  ;  ; 350.4381 ; 930.8002
6.937806 ;  ;  ; 369.1824 ; 980.7707
6.9465 ;  ;  ; 378.2597 ; 1004.962
6.95 ;  ;  ; 378.9522 ; 1006.803
6.95525 ;  ;  ; 376.7492 ; 1000.919
6.9605 ;  ;  ; 370.7403 ; 984.8862
6.966181 ;  ;  ; 360.2078 ; 956.7897
6.971862 ;  ;  ; 345.9159 ; 918.6679
6.983223 ;  ;  ; 308.4422 ; 818.7174
6.994585 ;  ;  ; 263.754 ; 699.528
7.005946 ;  ;  ; 217.4093 ; 575.9205
7.013432 ;  ;  ; 188.2186 ; 498.0644
7.020917 ;  ;  ; 161.2189 ; 426.0505
7.028403 ;  ;  ; 136.9807 ; 361.4006
7.035888 ;  ;  ; 115.7826 ; 304.8571
7.043374 ;  ;  ; 97.63889 ; 256.4587
7.050859 ;  ;  ; 82.38993 ; 215.7794
7.058344 ;  ;  ; 69.75088 ; 182.0595
7.065829 ;  ;  ; 59.38072 ; 154.3898
7.072317 ;  ;  ; 51.95338 ; 134.5696
7.078804 ;  ;  ; 45.74471 ; 117.9989
7.085291 ;  ;  ; 40.55278 ; 104.1395
7.091778 ;  ;  ; 36.20139 ; 92.52122
7.098266 ;  ;  ; 32.53957 ; 82.74165
7.104753 ;  ;  ; 29.44274 ; 74.46852
7.11124 ;  ;  ; 26.807 ; 67.42477
7.117727 ;  ;  ; 24.54849 ; 61.38679
7.124215 ;  ;  ; 22.59939 ; 56.17372
7.130702 ;  ;  ; 20.90614 ; 51.64269
7.143676 ;  ;  ; 18.12121 ; 44.18427
7.156651 ;  ;  ; 15.93867 ; 38.33138
7.169625 ;  ;  ; 14.1922 ; 33.64053
7.181602 ;  ;  ; 12.86952 ; 30.08161
7.193579 ;  ;  ; 11.76127 ; 27.09375
7.205556 ;  ;  ; 10.82278 ; 24.55782
7.217532 ;  ;  ; 10.02089 ; 22.38538
7.229509 ;  ;  ; 9.330242 ; 20.50878
7.241485 ;  ;  ; 8.73146 ; 18.87633
7.265438 ;  ;  ; 7.751183 ; 16.18826
7.289391 ;  ;  ; 6.990896 ; 14.08322
7.313344 ;  ;  ; 6.39187 ; 12.40439
7.337297 ;  ;  ; 5.913717 ; 11.04385
7.36125 ;  ;  ; 5.527787 ; 9.925008
7.393188 ;  ;  ; 5.122328 ; 8.717184
7.425125 ;  ;  ; 4.812471 ; 7.75565
7.457063 ;  ;  ; 4.576391 ; 6.981391
7.489 ;  ;  ; 4.398683 ; 6.352432
7.520938 ;  ;  ; 4.268273 ; 5.838202
7.552875 ;  ;  ; 4.177283 ; 5.416513
7.584813 ;  ;  ; 4.120141 ; 5.071107
7.61675 ;  ;  ; 4.093029 ; 4.790171
7.656672 ;  ;  ; 4.09775 ; 4.516974
7.696594 ;  ;  ; 4.143394 ; 4.32064
7.736516 ;  ;  ; 4.230309 ; 4.195895
7.776438 ;  ;  ; 4.361626 ; 4.142791
7.804384 ;  ;  ; 4.483401 ; 4.15136
7.832329 ;  ;  ; 4.635077 ; 4.204765
7.860274 ;  ;  ; 4.838352 ; 4.339981
7.874247 ;  ;  ; 4.989809 ; 4.492903
7.881233 ;  ;  ; 5.093458 ; 4.618728
7.888219 ;  ;  ; 5.227606 ; 4.79907
7.895206 ;  ;  ; 5.405624 ; 5.058269
7.902192 ;  ;  ; 5.645239 ; 5.428643
7.909178 ;  ;  ; 5.96921 ; 5.951685
7.916164 ;  ;  ; 6.405363 ; 6.678176
7.919658 ;  ;  ; 6.675577 ; 7.136087
7.923151 ;  ;  ; 6.986231 ; 7.667509
7.926644 ;  ;  ; 7.341964 ; 8.280907
7.930137 ;  ;  ; 7.747417 ; 8.984772
7.93363 ;  ;  ; 8.207219 ; 9.787576
7.937123 ;  ;  ; 8.725881 ; 10.69758
7.940616 ;  ;  ; 9.307682 ; 11.72263
7.944109 ;  ;  ; 9.956538 ; 12.86992
7.951096 ;  ;  ; 11.46874 ; 15.55571
7.958082 ;  ;  ; 13.2812 ; 18.78963
7.965068 ;  ;  ; 15.39936 ; 22.58218
7.972054 ;  ;  ; 17.81137 ; 26.91246
7.979041 ;  ;  ; 20.48705 ; 31.72618
7.986027 ;  ;  ; 23.37653 ; 36.93313
7.999999 ;  ;  ; 29.52492 ; 48.03357
8.000001 ;  ;  ; 53.03533 ; 90.61466
10.0 ;  ;  ; 47.5119 ; 81.1712
10.044 ;  ;  ; 47.4083 ; 80.9941
10.04405 ;  ;  ; 47.40818 ; 80.99389
12.5 ;  ;  ; 42.42074 ; 72.46306
14.1732 ;  ;  ; 39.79739 ; 67.9764
14.2 ;  ;  ; 39.75921 ; 67.9111
15.0 ;  ;  ; 38.66715 ; 66.0435
17.0 ;  ;  ; 36.28443 ; 61.96885
20.0 ;  ;  ; 33.4083 ; 57.0509
