Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 3.448814 ; 5186.808
1.0625E-5 ;  ;  ; 3.345839 ; 5031.94
1.125E-5 ;  ;  ; 3.25157 ; 4890.164
1.1875E-5 ;  ;  ; 3.164844 ; 4759.734
1.25E-5 ;  ;  ; 3.084707 ; 4639.213
1.375E-5 ;  ;  ; 2.94115 ; 4423.312
1.5E-5 ;  ;  ; 2.815934 ; 4234.994
1.625E-5 ;  ;  ; 2.705459 ; 4068.847
1.75E-5 ;  ;  ; 2.607043 ; 3920.835
1.875E-5 ;  ;  ; 2.51864 ; 3787.883
2.0E-5 ;  ;  ; 2.438661 ; 3667.598
2.1875E-5 ;  ;  ; 2.331802 ; 3506.89
2.375E-5 ;  ;  ; 2.237862 ; 3365.609
2.5625E-5 ;  ;  ; 2.154431 ; 3240.134
2.75E-5 ;  ;  ; 2.079685 ; 3127.721
2.9375E-5 ;  ;  ; 2.012215 ; 3026.249
3.125E-5 ;  ;  ; 1.950912 ; 2934.053
3.3125E-5 ;  ;  ; 1.89489 ; 2849.8
3.5E-5 ;  ;  ; 1.843433 ; 2772.412
3.875E-5 ;  ;  ; 1.75196 ; 2634.842
4.25E-5 ;  ;  ; 1.672878 ; 2515.908
4.625E-5 ;  ;  ; 1.603621 ; 2411.749
5.0E-5 ;  ;  ; 1.542309 ; 2319.539
5.3125E-5 ;  ;  ; 1.496255 ; 2250.278
5.625E-5 ;  ;  ; 1.454095 ; 2186.872
5.9375E-5 ;  ;  ; 1.415309 ; 2128.539
6.25E-5 ;  ;  ; 1.379469 ; 2074.638
6.875E-5 ;  ;  ; 1.315266 ; 1978.08
7.5E-5 ;  ;  ; 1.259265 ; 1893.858
8.125E-5 ;  ;  ; 1.209856 ; 1819.551
8.75E-5 ;  ;  ; 1.165841 ; 1753.354
9.375E-5 ;  ;  ; 1.126304 ; 1693.893
1.0E-4 ;  ;  ; 1.090533 ; 1640.096
1.0625E-4 ;  ;  ; 1.057967 ; 1591.119
1.125E-4 ;  ;  ; 1.028154 ; 1546.282
1.1875E-4 ;  ;  ; 1.000727 ; 1505.033
1.25E-4 ;  ;  ; 0.9753828 ; 1466.917
1.375E-4 ;  ;  ; 0.9299815 ; 1398.636
1.5E-4 ;  ;  ; 0.8903802 ; 1339.078
1.625E-4 ;  ;  ; 0.8554408 ; 1286.531
1.75E-4 ;  ;  ; 0.8243147 ; 1239.719
1.875E-4 ;  ;  ; 0.7963553 ; 1197.67
2.0E-4 ;  ;  ; 0.7710595 ; 1159.627
2.1875E-4 ;  ;  ; 0.7372621 ; 1108.798
2.375E-4 ;  ;  ; 0.70755 ; 1064.112
2.5625E-4 ;  ;  ; 0.6811613 ; 1024.425
2.75E-4 ;  ;  ; 0.6575193 ; 988.8691
2.9375E-4 ;  ;  ; 0.6361782 ; 956.7734
3.125E-4 ;  ;  ; 0.6167875 ; 927.611
3.3125E-4 ;  ;  ; 0.599067 ; 900.9605
3.5E-4 ;  ;  ; 0.5827901 ; 876.4809
3.875E-4 ;  ;  ; 0.5538547 ; 832.9638
4.25E-4 ;  ;  ; 0.528838 ; 795.3402
4.625E-4 ;  ;  ; 0.5069284 ; 762.3895
5.0E-4 ;  ;  ; 0.4875317 ; 733.2181
5.3125E-4 ;  ;  ; 0.472962 ; 711.3061
5.625E-4 ;  ;  ; 0.4596236 ; 691.2459
5.9375E-4 ;  ;  ; 0.4473523 ; 672.7905
6.25E-4 ;  ;  ; 0.4360129 ; 655.7368
6.875E-4 ;  ;  ; 0.415699 ; 625.1859
7.5E-4 ;  ;  ; 0.3979797 ; 598.5371
8.125E-4 ;  ;  ; 0.3823457 ; 575.0246
8.75E-4 ;  ;  ; 0.3684177 ; 554.0777
9.375E-4 ;  ;  ; 0.3559064 ; 535.2614
0.001 ;  ;  ; 0.3445867 ; 518.2372
0.0010625 ;  ;  ; 0.3342806 ; 502.7375
0.001125 ;  ;  ; 0.3248454 ; 488.5475
0.0011875 ;  ;  ; 0.3161648 ; 475.4924
0.00125 ;  ;  ; 0.3081432 ; 463.4285
0.001375 ;  ;  ; 0.2937723 ; 441.8155
0.0015 ;  ;  ; 0.281236 ; 422.9616
0.001625 ;  ;  ; 0.2701741 ; 406.3251
0.00175 ;  ;  ; 0.2603183 ; 391.5026
0.001875 ;  ;  ; 0.2514642 ; 378.1865
0.002 ;  ;  ; 0.2434526 ; 366.1376
0.0021875 ;  ;  ; 0.2327472 ; 350.0373
0.002375 ;  ;  ; 0.2233348 ; 335.8815
0.0025625 ;  ;  ; 0.2149744 ; 323.308
0.00275 ;  ;  ; 0.2074838 ; 312.0425
0.0029375 ;  ;  ; 0.2007217 ; 301.8728
0.003125 ;  ;  ; 0.1945771 ; 292.6317
0.0033125 ;  ;  ; 0.1889611 ; 284.1855
0.0035 ;  ;  ; 0.1838016 ; 276.426
0.003875 ;  ;  ; 0.1746265 ; 262.6271
0.00425 ;  ;  ; 0.1666896 ; 250.6904
0.004625 ;  ;  ; 0.1597352 ; 240.2314
0.005 ;  ;  ; 0.1535767 ; 230.9694
0.0053125 ;  ;  ; 0.1489504 ; 224.0117
0.005625 ;  ;  ; 0.144715 ; 217.6419
0.0059375 ;  ;  ; 0.1408184 ; 211.7816
0.00625 ;  ;  ; 0.1372173 ; 206.3658
0.006875 ;  ;  ; 0.1307634 ; 196.6595
0.0075 ;  ;  ; 0.1251289 ; 188.1855
0.008125 ;  ;  ; 0.1201529 ; 180.7018
0.00875 ;  ;  ; 0.1157166 ; 174.0299
0.009375 ;  ;  ; 0.1117298 ; 168.034
0.01 ;  ;  ; 0.1081222 ; 162.6083
0.010625 ;  ;  ; 0.1048378 ; 157.6688
0.01125 ;  ;  ; 0.1018315 ; 153.1474
0.011875 ;  ;  ; 0.09906578 ; 148.988
0.0125 ;  ;  ; 0.09650949 ; 145.1434
0.01375 ;  ;  ; 0.09192499 ; 138.2486
0.015 ;  ;  ; 0.08791751 ; 132.2215
0.01625 ;  ;  ; 0.08437526 ; 126.8942
0.0175 ;  ;  ; 0.08121596 ; 122.1427
