Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 12596.41 ; 1002.269
1.0625E-5 ;  ;  ; 12220.3 ; 972.3465
1.125E-5 ;  ;  ; 11875.99 ; 944.9536
1.1875E-5 ;  ;  ; 11559.23 ; 919.7528
1.25E-5 ;  ;  ; 11266.53 ; 896.4666
1.375E-5 ;  ;  ; 10742.2 ; 854.7521
1.5E-5 ;  ;  ; 10284.85 ; 818.3673
1.625E-5 ;  ;  ; 9881.352 ; 786.2661
1.75E-5 ;  ;  ; 9521.893 ; 757.6691
1.875E-5 ;  ;  ; 9199.007 ; 731.9818
2.0E-5 ;  ;  ; 8906.886 ; 708.7422
2.1875E-5 ;  ;  ; 8516.59 ; 677.6926
2.375E-5 ;  ;  ; 8173.479 ; 650.3969
2.5625E-5 ;  ;  ; 7868.75 ; 626.1549
2.75E-5 ;  ;  ; 7595.744 ; 604.4366
2.9375E-5 ;  ;  ; 7349.312 ; 584.8326
3.125E-5 ;  ;  ; 7125.405 ; 567.0206
3.3125E-5 ;  ;  ; 6920.788 ; 550.7434
3.5E-5 ;  ;  ; 6732.842 ; 535.7924
3.875E-5 ;  ;  ; 6398.742 ; 509.2151
4.25E-5 ;  ;  ; 6109.898 ; 486.2383
4.625E-5 ;  ;  ; 5856.937 ; 466.1162
5.0E-5 ;  ;  ; 5632.996 ; 448.3028
5.3125E-5 ;  ;  ; 5464.789 ; 434.9228
5.625E-5 ;  ;  ; 5310.8 ; 422.6741
5.9375E-5 ;  ;  ; 5169.134 ; 411.4056
6.25E-5 ;  ;  ; 5038.231 ; 400.9932
6.875E-5 ;  ;  ; 4803.73 ; 382.3408
7.5E-5 ;  ;  ; 4599.189 ; 366.0717
8.125E-5 ;  ;  ; 4418.727 ; 351.7181
8.75E-5 ;  ;  ; 4257.963 ; 338.9314
9.375E-5 ;  ;  ; 4113.555 ; 327.4458
1.0E-4 ;  ;  ; 3982.907 ; 317.0546
1.0625E-4 ;  ;  ; 3863.962 ; 307.5944
1.125E-4 ;  ;  ; 3755.072 ; 298.9341
1.1875E-4 ;  ;  ; 3654.896 ; 290.9668
1.25E-4 ;  ;  ; 3562.33 ; 283.6048
1.375E-4 ;  ;  ; 3396.508 ; 270.4167
1.5E-4 ;  ;  ; 3251.871 ; 258.9136
1.625E-4 ;  ;  ; 3124.261 ; 248.7648
1.75E-4 ;  ;  ; 3010.58 ; 239.7239
1.875E-4 ;  ;  ; 2908.466 ; 231.6028
2.0E-4 ;  ;  ; 2816.081 ; 224.2554
2.1875E-4 ;  ;  ; 2692.648 ; 214.4389
2.375E-4 ;  ;  ; 2584.137 ; 205.809
2.5625E-4 ;  ;  ; 2487.765 ; 198.1445
2.75E-4 ;  ;  ; 2401.426 ; 191.2778
2.9375E-4 ;  ;  ; 2323.491 ; 185.0795
3.125E-4 ;  ;  ; 2252.68 ; 179.4476
3.3125E-4 ;  ;  ; 2187.97 ; 174.3009
3.5E-4 ;  ;  ; 2128.532 ; 169.5734
3.875E-4 ;  ;  ; 2022.873 ; 161.1694
4.25E-4 ;  ;  ; 1931.528 ; 153.9037
4.625E-4 ;  ;  ; 1851.531 ; 147.5403
5.0E-4 ;  ;  ; 1780.713 ; 141.9068
5.3125E-4 ;  ;  ; 1727.52 ; 137.6752
5.625E-4 ;  ;  ; 1678.824 ; 133.8013
5.9375E-4 ;  ;  ; 1634.026 ; 130.2372
6.25E-4 ;  ;  ; 1592.631 ; 126.9439
6.875E-4 ;  ;  ; 1518.478 ; 121.044
7.5E-4 ;  ;  ; 1453.801 ; 115.8977
8.125E-4 ;  ;  ; 1396.74 ; 111.3571
8.75E-4 ;  ;  ; 1345.908 ; 107.312
9.375E-4 ;  ;  ; 1300.25 ; 103.6784
0.001 ;  ;  ; 1258.943 ; 100.3909
0.0010625 ;  ;  ; 1221.338 ; 97.39779
0.001125 ;  ;  ; 1186.913 ; 94.65767
0.0011875 ;  ;  ; 1155.242 ; 92.13675
0.00125 ;  ;  ; 1125.979 ; 89.80727
0.001375 ;  ;  ; 1073.557 ; 85.63405
0.0015 ;  ;  ; 1027.832 ; 81.99375
0.001625 ;  ;  ; 987.491 ; 78.78175
0.00175 ;  ;  ; 951.5528 ; 75.92014
0.001875 ;  ;  ; 919.2709 ; 73.34949
0.002 ;  ;  ; 890.0648 ; 71.02363
0.0021875 ;  ;  ; 851.044 ; 67.91594
0.002375 ;  ;  ; 816.742 ; 65.18386
0.0025625 ;  ;  ; 786.2797 ; 62.75741
0.00275 ;  ;  ; 758.9911 ; 60.58361
0.0029375 ;  ;  ; 734.361 ; 58.62146
0.003125 ;  ;  ; 711.9838 ; 56.83868
0.0033125 ;  ;  ; 691.5351 ; 55.20944
0.0035 ;  ;  ; 672.7519 ; 53.71282
0.003875 ;  ;  ; 639.3581 ; 51.05184
0.00425 ;  ;  ; 610.481 ; 48.75056
0.004625 ;  ;  ; 585.1873 ; 46.73468
0.005 ;  ;  ; 562.7959 ; 44.94996
0.0053125 ;  ;  ; 545.9804 ; 43.60958
0.005625 ;  ;  ; 530.59 ; 42.38273
0.0059375 ;  ;  ; 516.4343 ; 41.25425
0.00625 ;  ;  ; 503.3558 ; 40.21157
0.006875 ;  ;  ; 479.9258 ; 38.3435
0.0075 ;  ;  ; 459.4818 ; 36.71336
0.008125 ;  ;  ; 441.4368 ; 35.27439
0.00875 ;  ;  ; 425.3577 ; 33.99209
0.009375 ;  ;  ; 410.9155 ; 32.84024
0.01 ;  ;  ; 397.8536 ; 31.79842
0.010625 ;  ;  ; 385.9684 ; 30.85039
0.01125 ;  ;  ; 375.0949 ; 29.983
0.011875 ;  ;  ; 365.097 ; 29.18541
0.0125 ;  ;  ; 355.8608 ; 28.44856
0.01375 ;  ;  ; 339.3091 ; 27.12798
0.015 ;  ;  ; 324.8556 ; 25.9747
0.01625 ;  ;  ; 312.0929 ; 24.95625
0.0175 ;  ;  ; 300.7213 ; 24.04874
0.01875 ;  ;  ; 290.5086 ; 23.23365
0.02 ;  ;  ; 281.2713 ; 22.49634
