Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 0.4779582 ; 1145.508
1.0625E-5 ;  ;  ; 0.4636873 ; 1111.307
1.125E-5 ;  ;  ; 0.4506228 ; 1079.997
1.1875E-5 ;  ;  ; 0.4386038 ; 1051.193
1.25E-5 ;  ;  ; 0.4274978 ; 1024.577
1.375E-5 ;  ;  ; 0.4076027 ; 976.8971
1.5E-5 ;  ;  ; 0.3902494 ; 935.3092
1.625E-5 ;  ;  ; 0.3749391 ; 898.6173
1.75E-5 ;  ;  ; 0.3613 ; 865.9305
1.875E-5 ;  ;  ; 0.3490485 ; 836.5696
2.0E-5 ;  ;  ; 0.3379644 ; 810.0062
2.1875E-5 ;  ;  ; 0.3231553 ; 774.5158
2.375E-5 ;  ;  ; 0.3101364 ; 743.3159
2.5625E-5 ;  ;  ; 0.298574 ; 715.6065
2.75E-5 ;  ;  ; 0.2882152 ; 690.7817
2.9375E-5 ;  ;  ; 0.2788647 ; 668.3734
3.125E-5 ;  ;  ; 0.2703689 ; 648.0135
3.3125E-5 ;  ;  ; 0.2626051 ; 629.4077
3.5E-5 ;  ;  ; 0.2554738 ; 612.3178
3.875E-5 ;  ;  ; 0.2427969 ; 581.9383
4.25E-5 ;  ;  ; 0.2318372 ; 555.6742
4.625E-5 ;  ;  ; 0.2222391 ; 532.6731
5.0E-5 ;  ;  ; 0.2137421 ; 512.3107
5.3125E-5 ;  ;  ; 0.2073597 ; 497.0162
5.625E-5 ;  ;  ; 0.2015169 ; 483.0147
5.9375E-5 ;  ;  ; 0.1961417 ; 470.1336
6.25E-5 ;  ;  ; 0.1911748 ; 458.2312
6.875E-5 ;  ;  ; 0.1822772 ; 436.9094
7.5E-5 ;  ;  ; 0.1745163 ; 418.3119
8.125E-5 ;  ;  ; 0.167669 ; 401.904
8.75E-5 ;  ;  ; 0.1615692 ; 387.2871
9.375E-5 ;  ;  ; 0.15609 ; 374.1575
1.0E-4 ;  ;  ; 0.1511328 ; 362.279
1.0625E-4 ;  ;  ; 0.1466197 ; 351.4647
1.125E-4 ;  ;  ; 0.1424881 ; 341.5647
1.1875E-4 ;  ;  ; 0.1386872 ; 332.457
1.25E-4 ;  ;  ; 0.135175 ; 324.0413
1.375E-4 ;  ;  ; 0.1288832 ; 308.9656
1.5E-4 ;  ;  ; 0.1233953 ; 295.8161
1.625E-4 ;  ;  ; 0.1185535 ; 284.2148
1.75E-4 ;  ;  ; 0.1142401 ; 273.88
1.875E-4 ;  ;  ; 0.1103656 ; 264.5969
2.0E-4 ;  ;  ; 0.1068603 ; 256.1983
2.1875E-4 ;  ;  ; 0.102177 ; 244.9774
2.375E-4 ;  ;  ; 0.09805977 ; 235.1132
2.5625E-4 ;  ;  ; 0.09440317 ; 226.3527
2.75E-4 ;  ;  ; 0.09112722 ; 218.5043
2.9375E-4 ;  ;  ; 0.08817016 ; 211.42
3.125E-4 ;  ;  ; 0.0854834 ; 204.9834
3.3125E-4 ;  ;  ; 0.08302811 ; 199.1014
3.5E-4 ;  ;  ; 0.08077287 ; 193.6987
3.875E-4 ;  ;  ; 0.07676387 ; 184.095
4.25E-4 ;  ;  ; 0.07329795 ; 175.7925
4.625E-4 ;  ;  ; 0.07026262 ; 168.5218
5.0E-4 ;  ;  ; 0.06757553 ; 162.0854
5.3125E-4 ;  ;  ; 0.06555721 ; 157.2511
5.625E-4 ;  ;  ; 0.06370952 ; 152.8255
5.9375E-4 ;  ;  ; 0.0620097 ; 148.7543
6.25E-4 ;  ;  ; 0.06043903 ; 144.9925
6.875E-4 ;  ;  ; 0.05762539 ; 138.2541
7.5E-4 ;  ;  ; 0.05517128 ; 132.377
8.125E-4 ;  ;  ; 0.05300613 ; 127.1922
8.75E-4 ;  ;  ; 0.05107736 ; 122.5738
9.375E-4 ;  ;  ; 0.04934488 ; 118.4256
0.001 ;  ;  ; 0.04777751 ; 114.6729
0.0010625 ;  ;  ; 0.04635058 ; 111.2567
0.001125 ;  ;  ; 0.0450443 ; 108.1295
0.0011875 ;  ;  ; 0.04384257 ; 105.2528
0.00125 ;  ;  ; 0.04273214 ; 102.5948
0.001375 ;  ;  ; 0.04074296 ; 97.8338
0.0015 ;  ;  ; 0.03900792 ; 93.68158
0.001625 ;  ;  ; 0.03747713 ; 90.0186
0.00175 ;  ;  ; 0.03611341 ; 86.75582
0.001875 ;  ;  ; 0.03488843 ; 83.82534
0.002 ;  ;  ; 0.03378016 ; 81.1744
0.0021875 ;  ;  ; 0.03229944 ; 77.63315
0.002375 ;  ;  ; 0.03099779 ; 74.52073
0.0025625 ;  ;  ; 0.02984183 ; 71.75722
0.00275 ;  ;  ; 0.0288063 ; 69.28209
0.0029375 ;  ;  ; 0.02787164 ; 67.04852
0.003125 ;  ;  ; 0.02702248 ; 65.01963
0.0033125 ;  ;  ; 0.02624649 ; 63.16596
0.0035 ;  ;  ; 0.0255337 ; 61.46359
0.003875 ;  ;  ; 0.02426646 ; 58.4379
0.00425 ;  ;  ; 0.02317061 ; 55.82249
0.004625 ;  ;  ; 0.02221075 ; 53.53254
0.005 ;  ;  ; 0.02136102 ; 51.50616
0.0053125 ;  ;  ; 0.02072288 ; 49.98494
0.005625 ;  ;  ; 0.02013882 ; 48.59312
0.0059375 ;  ;  ; 0.01960162 ; 47.31339
0.00625 ;  ;  ; 0.01910529 ; 46.13143
0.006875 ;  ;  ; 0.01821612 ; 44.01506
0.0075 ;  ;  ; 0.01744026 ; 42.16967
0.008125 ;  ;  ; 0.01675544 ; 40.54196
0.00875 ;  ;  ; 0.01614523 ; 39.09259
0.009375 ;  ;  ; 0.01559714 ; 37.79168
0.01 ;  ;  ; 0.01510142 ; 36.61595
0.010625 ;  ;  ; 0.01465037 ; 35.5469
0.01125 ;  ;  ; 0.0142377 ; 34.56955
0.011875 ;  ;  ; 0.01385826 ; 33.67154
0.0125 ;  ;  ; 0.01350773 ; 32.84256
0.01375 ;  ;  ; 0.01287955 ; 31.35859
0.015 ;  ;  ; 0.01233101 ; 30.06464
