Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 27012.49 ; 2079.94
1.0625E-5 ;  ;  ; 26205.97 ; 2017.839
1.125E-5 ;  ;  ; 25467.62 ; 1960.988
1.1875E-5 ;  ;  ; 24788.36 ; 1908.687
1.25E-5 ;  ;  ; 24160.7 ; 1860.359
1.375E-5 ;  ;  ; 23036.32 ; 1773.784
1.5E-5 ;  ;  ; 22055.59 ; 1698.271
1.625E-5 ;  ;  ; 21190.33 ; 1631.648
1.75E-5 ;  ;  ; 20419.51 ; 1572.297
1.875E-5 ;  ;  ; 19727.11 ; 1518.984
2.0E-5 ;  ;  ; 19100.69 ; 1470.752
2.1875E-5 ;  ;  ; 18263.75 ; 1406.31
2.375E-5 ;  ;  ; 17527.99 ; 1349.659
2.5625E-5 ;  ;  ; 16874.54 ; 1299.345
2.75E-5 ;  ;  ; 16289.11 ; 1254.269
2.9375E-5 ;  ;  ; 15760.67 ; 1213.581
3.125E-5 ;  ;  ; 15280.54 ; 1176.612
3.3125E-5 ;  ;  ; 14841.77 ; 1142.829
3.5E-5 ;  ;  ; 14438.74 ; 1111.798
3.875E-5 ;  ;  ; 13722.31 ; 1056.636
4.25E-5 ;  ;  ; 13102.93 ; 1008.946
4.625E-5 ;  ;  ; 12560.5 ; 967.1814
5.0E-5 ;  ;  ; 12080.3 ; 930.2082
5.3125E-5 ;  ;  ; 11719.6 ; 902.4368
5.625E-5 ;  ;  ; 11389.4 ; 877.0132
5.9375E-5 ;  ;  ; 11085.63 ; 853.6241
6.25E-5 ;  ;  ; 10804.93 ; 832.012
6.875E-5 ;  ;  ; 10302.09 ; 793.2963
7.5E-5 ;  ;  ; 9863.487 ; 759.5272
8.125E-5 ;  ;  ; 9476.524 ; 729.7338
8.75E-5 ;  ;  ; 9131.799 ; 703.1926
9.375E-5 ;  ;  ; 8822.147 ; 679.352
1.0E-4 ;  ;  ; 8541.999 ; 657.783
1.0625E-4 ;  ;  ; 8286.948 ; 638.1464
1.125E-4 ;  ;  ; 8053.458 ; 620.1699
1.1875E-4 ;  ;  ; 7838.653 ; 603.6321
1.25E-4 ;  ;  ; 7640.166 ; 588.3506
1.375E-4 ;  ;  ; 7284.597 ; 560.9758
1.5E-4 ;  ;  ; 6974.456 ; 537.0987
1.625E-4 ;  ;  ; 6700.826 ; 516.0327
1.75E-4 ;  ;  ; 6457.062 ; 497.2663
1.875E-4 ;  ;  ; 6238.1 ; 480.4095
2.0E-4 ;  ;  ; 6040.0 ; 465.1589
2.1875E-4 ;  ;  ; 5775.324 ; 444.7832
2.375E-4 ;  ;  ; 5542.643 ; 426.8711
2.5625E-4 ;  ;  ; 5335.991 ; 410.9629
2.75E-4 ;  ;  ; 5150.85 ; 396.711
2.9375E-4 ;  ;  ; 4983.731 ; 383.8465
3.125E-4 ;  ;  ; 4831.886 ; 372.1581
3.3125E-4 ;  ;  ; 4693.123 ; 361.4768
3.5E-4 ;  ;  ; 4565.665 ; 351.6659
3.875E-4 ;  ;  ; 4339.087 ; 334.226
4.25E-4 ;  ;  ; 4143.2 ; 319.1488
4.625E-4 ;  ;  ; 3971.647 ; 305.9451
5.0E-4 ;  ;  ; 3819.773 ; 294.2564
5.3125E-4 ;  ;  ; 3705.696 ; 285.477
5.625E-4 ;  ;  ; 3601.263 ; 277.44
5.9375E-4 ;  ;  ; 3505.186 ; 270.0463
6.25E-4 ;  ;  ; 3416.408 ; 263.2145
6.875E-4 ;  ;  ; 3257.371 ; 250.9766
7.5E-4 ;  ;  ; 3118.652 ; 240.3029
8.125E-4 ;  ;  ; 2996.264 ; 230.8863
8.75E-4 ;  ;  ; 2887.236 ; 222.4981
9.375E-4 ;  ;  ; 2789.301 ; 214.9639
0.001 ;  ;  ; 2700.697 ; 208.1479
0.0010625 ;  ;  ; 2620.031 ; 201.9429
0.001125 ;  ;  ; 2546.183 ; 196.2628
0.0011875 ;  ;  ; 2478.245 ; 191.0375
0.00125 ;  ;  ; 2415.468 ; 186.2095
0.001375 ;  ;  ; 2303.006 ; 177.5612
0.0015 ;  ;  ; 2204.909 ; 170.0185
0.001625 ;  ;  ; 2118.357 ; 163.3643
0.00175 ;  ;  ; 2041.248 ; 157.4368
0.001875 ;  ;  ; 1971.981 ; 152.1129
0.002 ;  ;  ; 1909.311 ; 147.2966
0.0021875 ;  ;  ; 1825.577 ; 140.8626
0.002375 ;  ;  ; 1751.964 ; 135.2074
0.0025625 ;  ;  ; 1686.588 ; 130.1859
0.00275 ;  ;  ; 1628.019 ; 125.6882
0.0029375 ;  ;  ; 1575.154 ; 121.6293
0.003125 ;  ;  ; 1527.122 ; 117.9422
0.0033125 ;  ;  ; 1483.227 ; 114.5734
0.0035 ;  ;  ; 1442.905 ; 111.4794
0.003875 ;  ;  ; 1371.212 ; 105.98
0.00425 ;  ;  ; 1309.209 ; 101.226
0.004625 ;  ;  ; 1254.895 ; 97.06313
0.005 ;  ;  ; 1206.808 ; 93.3792
0.0053125 ;  ;  ; 1170.692 ; 90.6135
0.005625 ;  ;  ; 1137.635 ; 88.08295
0.0059375 ;  ;  ; 1107.228 ; 85.75612
0.00625 ;  ;  ; 1079.131 ; 83.60698
0.006875 ;  ;  ; 1028.792 ; 79.75858
0.0075 ;  ;  ; 984.86 ; 76.40274
0.008125 ;  ;  ; 946.0769 ; 73.44258
0.00875 ;  ;  ; 911.5136 ; 70.80669
0.009375 ;  ;  ; 880.4636 ; 68.44077
0.01 ;  ;  ; 852.377 ; 66.30253
0.010625 ;  ;  ; 826.8164 ; 64.35836
0.01125 ;  ;  ; 803.4277 ; 62.58106
0.011875 ;  ;  ; 781.919 ; 60.94816
0.0125 ;  ;  ; 762.0458 ; 59.44091
0.01375 ;  ;  ; 726.4232 ; 56.74317
0.015 ;  ;  ; 695.3055 ; 54.3915
0.01625 ;  ;  ; 667.8186 ; 52.31876
0.0175 ;  ;  ; 643.3192 ; 50.47558
0.01875 ;  ;  ; 621.3088 ; 48.82367
0.02 ;  ;  ; 601.393 ; 47.3328
