Incident energy ; MT=16 : (z,2n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
16.25 ;  ; 0.001211813 ;  ; 1.470305E-4
16.28373 ;  ; 0.00121068 ;  ; 1.468769E-4
16.35975 ;  ; 0.001208144 ;  ; 1.465383E-4
16.43577 ;  ; 0.001205639 ;  ; 1.462077E-4
16.5878 ;  ; 0.001200698 ;  ; 1.45551E-4
16.89187 ;  ; 0.00119107 ;  ; 1.442383E-4
17.5 ;  ; 0.001172555 ;  ; 1.417318E-4
18.75 ;  ; 0.001137959 ;  ; 1.369454E-4
20.0 ;  ; 0.001106909 ;  ; 1.325881E-4
21.82615 ;  ; 0.001067522 ;  ; 1.268654E-4
21.875 ;  ; 0.001066528 ;  ; 1.267257E-4
21.99219 ;  ; 0.001064202 ;  ; 1.264017E-4
22.10938 ;  ; 0.001061916 ;  ; 1.260821E-4
22.34375 ;  ; 0.001057418 ;  ; 1.254436E-4
22.8125 ;  ; 0.001048685 ;  ; 1.241665E-4
23.75 ;  ; 0.001032169 ;  ; 1.216205E-4
23.77929 ;  ; 0.001031666 ;  ; 1.215449E-4
23.89557 ;  ; 0.0010297 ;  ; 1.212557E-4
24.01184 ;  ; 0.001027765 ;  ; 1.209757E-4
24.24438 ;  ; 0.001023956 ;  ; 1.204185E-4
24.70947 ;  ; 0.001016559 ;  ; 1.193041E-4
25.63965 ;  ; 0.001002631 ;  ; 1.170754E-4
27.5 ;  ; 9.77488E-4 ;  ; 1.130809E-4
31.25 ;  ; 9.370569E-4 ;  ; 1.060557E-4
35.0 ;  ; 9.074492E-4 ;  ; 1.002196E-4
42.5 ;  ; 8.726032E-4 ;  ; 9.093486E-5
47.55857 ;  ; 8.636166E-4 ;  ; 8.594277E-5
50.0 ;  ; 8.628609E-4 ;  ; 8.386867E-5
56.25 ;  ; 8.70745E-4 ;  ; 7.903045E-5
62.5 ;  ; 8.923453E-4 ;  ; 7.499291E-5
68.75 ;  ; 9.280836E-4 ;  ; 7.148146E-5
75.0 ;  ; 9.794168E-4 ;  ; 6.847291E-5
76.40764 ;  ; 9.934016E-4 ;  ; 6.780316E-5
81.25 ;  ; 0.00104895 ;  ; 6.57705E-5
82.45608 ;  ; 0.00106478 ;  ; 6.5268E-5
87.3046 ;  ; 0.001137411 ;  ; 6.342985E-5
87.5 ;  ; 0.001140584 ;  ; 6.336104E-5
87.97608 ;  ; 0.001148622 ;  ; 6.319842E-5
88.45215 ;  ; 0.001156854 ;  ; 6.303629E-5
89.40429 ;  ; 0.001173845 ;  ; 6.271203E-5
91.30857 ;  ; 0.001209992 ;  ; 6.206349E-5
95.65429 ;  ; 0.001305331 ;  ; 6.060558E-5
100.0 ;  ; 0.001418407 ;  ; 5.930416E-5
104.4357 ;  ; 0.001562968 ;  ; 5.80051E-5
108.8713 ;  ; 0.001735209 ;  ; 5.683784E-5
113.3069 ;  ; 0.001954134 ;  ; 5.56798E-5
117.7425 ;  ; 0.002228185 ;  ; 5.464617E-5
122.1782 ;  ; 0.002581539 ;  ; 5.361932E-5
124.396 ;  ; 0.002797769 ;  ; 5.315459E-5
126.6138 ;  ; 0.003047163 ;  ; 5.26901E-5
128.8316 ;  ; 0.003336658 ;  ; 5.222561E-5
131.0494 ;  ; 0.003677919 ;  ; 5.177566E-5
133.2672 ;  ; 0.004073526 ;  ; 5.135252E-5
135.485 ;  ; 0.004544067 ;  ; 5.09294E-5
137.6513 ;  ; 0.005105101 ;  ; 5.051616E-5
139.8176 ;  ; 0.005773551 ;  ; 5.014081E-5
141.9839 ;  ; 0.006605786 ;  ; 4.977421E-5
144.1502 ;  ; 0.007650802 ;  ; 4.940763E-5
145.2334 ;  ; 0.008258389 ;  ; 4.922433E-5
146.3165 ;  ; 0.008977178 ;  ; 4.904104E-5
147.3997 ;  ; 0.00975585 ;  ; 4.885774E-5
148.4828 ;  ; 0.0106917 ;  ; 4.867445E-5
149.566 ;  ; 0.01171387 ;  ; 4.849115E-5
150.6491 ;  ; 0.01293703 ;  ; 4.830787E-5
151.7322 ;  ; 0.01436887 ;  ; 4.812458E-5
152.8153 ;  ; 0.01605645 ;  ; 4.794329E-5
153.7797 ;  ; 0.01784208 ;  ; 4.779845E-5
154.7441 ;  ; 0.01994875 ;  ; 4.76556E-5
155.7085 ;  ; 0.02246723 ;  ; 4.751276E-5
156.6729 ;  ; 0.02550282 ;  ; 4.736991E-5
157.6373 ;  ; 0.02921432 ;  ; 4.722705E-5
158.6017 ;  ; 0.0338297 ;  ; 4.708421E-5
159.5661 ;  ; 0.03964675 ;  ; 4.694136E-5
160.0483 ;  ; 0.04315116 ;  ; 4.686994E-5
160.5304 ;  ; 0.04713235 ;  ; 4.679853E-5
161.1255 ;  ; 0.05289029 ;  ; 4.671038E-5
161.7205 ;  ; 0.05978318 ;  ; 4.662224E-5
162.3156 ;  ; 0.06798708 ;  ; 4.65341E-5
162.9106 ;  ; 0.07819896 ;  ; 4.644596E-5
163.5057 ;  ; 0.09094464 ;  ; 4.635782E-5
163.8032 ;  ; 0.0985324 ;  ; 4.631375E-5
164.1007 ;  ; 0.1071223 ;  ; 4.626969E-5
164.3983 ;  ; 0.1169033 ;  ; 4.622563E-5
164.6958 ;  ; 0.1281022 ;  ; 4.61819E-5
164.9933 ;  ; 0.1410152 ;  ; 4.61395E-5
165.2908 ;  ; 0.1560011 ;  ; 4.609884E-5
165.5748 ;  ; 0.1726719 ;  ; 4.606068E-5
165.8587 ;  ; 0.1921812 ;  ; 4.602262E-5
166.1427 ;  ; 0.215172 ;  ; 4.598456E-5
166.4266 ;  ; 0.2423988 ;  ; 4.594651E-5
