Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ;  ;  ; 4031.16 ;  ; 
1.0625E-5 ;  ;  ;  ;  ; 3910.799 ;  ; 
1.125E-5 ;  ;  ;  ;  ; 3800.613 ;  ; 
1.1875E-5 ;  ;  ;  ;  ; 3699.245 ;  ; 
1.25E-5 ;  ;  ;  ;  ; 3605.577 ;  ; 
1.375E-5 ;  ;  ;  ;  ; 3437.782 ;  ; 
1.5E-5 ;  ;  ;  ;  ; 3291.425 ;  ; 
1.625E-5 ;  ;  ;  ;  ; 3162.298 ;  ; 
1.75E-5 ;  ;  ;  ;  ; 3047.266 ;  ; 
1.875E-5 ;  ;  ;  ;  ; 2943.938 ;  ; 
2.0E-5 ;  ;  ;  ;  ; 2850.455 ;  ; 
2.125E-5 ;  ;  ;  ;  ; 2765.346 ;  ; 
2.25E-5 ;  ;  ;  ;  ; 2687.433 ;  ; 
2.375E-5 ;  ;  ;  ;  ; 2615.754 ;  ; 
2.5E-5 ;  ;  ;  ;  ; 2549.521 ;  ; 
2.75E-5 ;  ;  ;  ;  ; 2430.872 ;  ; 
3.0E-5 ;  ;  ;  ;  ; 2327.382 ;  ; 
3.25E-5 ;  ;  ;  ;  ; 2236.075 ;  ; 
3.5E-5 ;  ;  ;  ;  ; 2154.735 ;  ; 
3.75E-5 ;  ;  ;  ;  ; 2081.67 ;  ; 
4.0E-5 ;  ;  ;  ;  ; 2015.568 ;  ; 
4.25E-5 ;  ;  ;  ;  ; 1955.387 ;  ; 
4.5E-5 ;  ;  ;  ;  ; 1900.294 ;  ; 
4.75E-5 ;  ;  ;  ;  ; 1849.609 ;  ; 
5.0E-5 ;  ;  ;  ;  ; 1802.775 ;  ; 
5.5E-5 ;  ;  ;  ;  ; 1718.877 ;  ; 
6.0E-5 ;  ;  ;  ;  ; 1645.698 ;  ; 
6.5E-5 ;  ;  ;  ;  ; 1581.134 ;  ; 
7.0E-5 ;  ;  ;  ;  ; 1523.617 ;  ; 
7.75E-5 ;  ;  ;  ;  ; 1448.016 ;  ; 
8.5E-5 ;  ;  ;  ;  ; 1382.656 ;  ; 
9.25E-5 ;  ;  ;  ;  ; 1325.416 ;  ; 
1.0E-4 ;  ;  ;  ;  ; 1274.742 ;  ; 
1.0625E-4 ;  ;  ;  ;  ; 1236.68 ;  ; 
1.125E-4 ;  ;  ;  ;  ; 1201.836 ;  ; 
1.1875E-4 ;  ;  ;  ;  ; 1169.78 ;  ; 
1.25E-4 ;  ;  ;  ;  ; 1140.159 ;  ; 
1.375E-4 ;  ;  ;  ;  ; 1087.097 ;  ; 
1.5E-4 ;  ;  ;  ;  ; 1040.814 ;  ; 
1.625E-4 ;  ;  ;  ;  ; 999.9791 ;  ; 
1.75E-4 ;  ;  ;  ;  ; 963.6019 ;  ; 
1.875E-4 ;  ;  ;  ;  ; 930.9258 ;  ; 
2.0E-4 ;  ;  ;  ;  ; 901.3632 ;  ; 
2.125E-4 ;  ;  ;  ;  ; 874.4488 ;  ; 
2.25E-4 ;  ;  ;  ;  ; 849.8097 ;  ; 
2.375E-4 ;  ;  ;  ;  ; 827.1423 ;  ; 
2.5E-4 ;  ;  ;  ;  ; 806.1969 ;  ; 
2.75E-4 ;  ;  ;  ;  ; 768.6753 ;  ; 
3.0E-4 ;  ;  ;  ;  ; 735.9475 ;  ; 
3.25E-4 ;  ;  ;  ;  ; 707.0725 ;  ; 
3.5E-4 ;  ;  ;  ;  ; 681.3492 ;  ; 
3.75E-4 ;  ;  ;  ;  ; 658.2431 ;  ; 
4.0E-4 ;  ;  ;  ;  ; 637.3384 ;  ; 
4.25E-4 ;  ;  ;  ;  ; 618.3064 ;  ; 
4.5E-4 ;  ;  ;  ;  ; 600.8832 ;  ; 
4.75E-4 ;  ;  ;  ;  ; 584.8542 ;  ; 
5.0E-4 ;  ;  ;  ;  ; 570.0429 ;  ; 
5.5E-4 ;  ;  ;  ;  ; 543.5098 ;  ; 
6.0E-4 ;  ;  ;  ;  ; 520.3663 ;  ; 
6.5E-4 ;  ;  ;  ;  ; 499.9472 ;  ; 
7.0E-4 ;  ;  ;  ;  ; 481.7567 ;  ; 
7.75E-4 ;  ;  ;  ;  ; 457.8465 ;  ; 
8.5E-4 ;  ;  ;  ;  ; 437.1748 ;  ; 
9.25E-4 ;  ;  ;  ;  ; 419.071 ;  ; 
0.001 ;  ;  ;  ;  ; 403.044 ;  ; 
0.0010625 ;  ;  ;  ;  ; 391.0056 ;  ; 
0.001125 ;  ;  ;  ;  ; 379.9848 ;  ; 
0.0011875 ;  ;  ;  ;  ; 369.846 ;  ; 
0.00125 ;  ;  ;  ;  ; 360.4773 ;  ; 
0.001375 ;  ;  ;  ;  ; 343.6943 ;  ; 
0.0015 ;  ;  ;  ;  ; 329.0556 ;  ; 
0.001625 ;  ;  ;  ;  ; 316.1404 ;  ; 
0.00175 ;  ;  ;  ;  ; 304.635 ;  ; 
0.001875 ;  ;  ;  ;  ; 294.3003 ;  ; 
0.002 ;  ;  ;  ;  ; 284.9504 ;  ; 
0.002125 ;  ;  ;  ;  ; 276.4382 ;  ; 
0.00225 ;  ;  ;  ;  ; 268.6455 ;  ; 
0.002375 ;  ;  ;  ;  ; 261.4765 ;  ; 
0.0025 ;  ;  ;  ;  ; 254.8521 ;  ; 
0.00275 ;  ;  ;  ;  ; 242.9851 ;  ; 
0.003 ;  ;  ;  ;  ; 232.6343 ;  ; 
0.00325 ;  ;  ;  ;  ; 223.5022 ;  ; 
0.0035 ;  ;  ;  ;  ; 215.3673 ;  ; 
0.00375 ;  ;  ;  ;  ; 208.0605 ;  ; 
0.004 ;  ;  ;  ;  ; 201.4504 ;  ; 
0.00425 ;  ;  ;  ;  ; 195.433 ;  ; 
0.0045 ;  ;  ;  ;  ; 189.9248 ;  ; 
0.00475 ;  ;  ;  ;  ; 184.8578 ;  ; 
0.005 ;  ;  ;  ;  ; 180.1761 ;  ; 
0.0055 ;  ;  ;  ;  ; 171.7896 ;  ; 
0.006 ;  ;  ;  ;  ; 164.4743 ;  ; 
0.0065 ;  ;  ;  ;  ; 158.0194 ;  ; 
0.007 ;  ;  ;  ;  ; 152.2678 ;  ; 
0.00775 ;  ;  ;  ;  ; 144.7055 ;  ; 
0.0085 ;  ;  ;  ;  ; 138.1652 ;  ; 
0.00925 ;  ;  ;  ;  ; 132.4367 ;  ; 
0.01 ;  ;  ;  ;  ; 127.3661 ;  ; 
0.010625 ;  ;  ;  ;  ; 123.5587 ;  ; 
0.01125 ;  ;  ;  ;  ; 120.0746 ;  ; 
