Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ;  ;  ; 0.7547561 ;  ; 
1.0625E-5 ;  ;  ;  ;  ; 0.732221 ;  ; 
1.125E-5 ;  ;  ;  ;  ; 0.711591 ;  ; 
1.1875E-5 ;  ;  ;  ;  ; 0.6926118 ;  ; 
1.25E-5 ;  ;  ;  ;  ; 0.6750745 ;  ; 
1.375E-5 ;  ;  ;  ;  ; 0.6436582 ;  ; 
1.5E-5 ;  ;  ;  ;  ; 0.6162558 ;  ; 
1.625E-5 ;  ;  ;  ;  ; 0.5920794 ;  ; 
1.75E-5 ;  ;  ;  ;  ; 0.570542 ;  ; 
1.875E-5 ;  ;  ;  ;  ; 0.5511959 ;  ; 
2.0E-5 ;  ;  ;  ;  ; 0.5336932 ;  ; 
2.1875E-5 ;  ;  ;  ;  ; 0.5103083 ;  ; 
2.375E-5 ;  ;  ;  ;  ; 0.4897504 ;  ; 
2.5625E-5 ;  ;  ;  ;  ; 0.4714924 ;  ; 
2.75E-5 ;  ;  ;  ;  ; 0.4551351 ;  ; 
2.9375E-5 ;  ;  ;  ;  ; 0.44037 ;  ; 
3.125E-5 ;  ;  ;  ;  ; 0.4269545 ;  ; 
3.3125E-5 ;  ;  ;  ;  ; 0.4146949 ;  ; 
3.5E-5 ;  ;  ;  ;  ; 0.4034341 ;  ; 
3.875E-5 ;  ;  ;  ;  ; 0.3834165 ;  ; 
4.25E-5 ;  ;  ;  ;  ; 0.3661104 ;  ; 
4.625E-5 ;  ;  ;  ;  ; 0.3509544 ;  ; 
5.0E-5 ;  ;  ;  ;  ; 0.3375371 ;  ; 
5.3125E-5 ;  ;  ;  ;  ; 0.3274591 ;  ; 
5.625E-5 ;  ;  ;  ;  ; 0.318233 ;  ; 
5.9375E-5 ;  ;  ;  ;  ; 0.3097453 ;  ; 
6.25E-5 ;  ;  ;  ;  ; 0.3019024 ;  ; 
6.875E-5 ;  ;  ;  ;  ; 0.2878526 ;  ; 
7.5E-5 ;  ;  ;  ;  ; 0.2755979 ;  ; 
8.125E-5 ;  ;  ;  ;  ; 0.2647859 ;  ; 
8.75E-5 ;  ;  ;  ;  ; 0.255154 ;  ; 
9.375E-5 ;  ;  ;  ;  ; 0.2465022 ;  ; 
1.0E-4 ;  ;  ;  ;  ; 0.2386747 ;  ; 
1.0625E-4 ;  ;  ;  ;  ; 0.2315485 ;  ; 
1.125E-4 ;  ;  ;  ;  ; 0.2250247 ;  ; 
1.1875E-4 ;  ;  ;  ;  ; 0.2190229 ;  ; 
1.25E-4 ;  ;  ;  ;  ; 0.2134771 ;  ; 
1.375E-4 ;  ;  ;  ;  ; 0.2035424 ;  ; 
1.5E-4 ;  ;  ;  ;  ; 0.194877 ;  ; 
1.625E-4 ;  ;  ;  ;  ; 0.1872318 ;  ; 
1.75E-4 ;  ;  ;  ;  ; 0.180421 ;  ; 
1.875E-4 ;  ;  ;  ;  ; 0.1743033 ;  ; 
2.0E-4 ;  ;  ;  ;  ; 0.1687684 ;  ; 
2.1875E-4 ;  ;  ;  ;  ; 0.1613734 ;  ; 
2.375E-4 ;  ;  ;  ;  ; 0.1548725 ;  ; 
2.5625E-4 ;  ;  ;  ;  ; 0.1490988 ;  ; 
2.75E-4 ;  ;  ;  ;  ; 0.1439261 ;  ; 
2.9375E-4 ;  ;  ;  ;  ; 0.139257 ;  ; 
3.125E-4 ;  ;  ;  ;  ; 0.1350146 ;  ; 
3.3125E-4 ;  ;  ;  ;  ; 0.1311378 ;  ; 
3.5E-4 ;  ;  ;  ;  ; 0.1275768 ;  ; 
3.875E-4 ;  ;  ;  ;  ; 0.1212467 ;  ; 
4.25E-4 ;  ;  ;  ;  ; 0.115774 ;  ; 
4.625E-4 ;  ;  ;  ;  ; 0.1109813 ;  ; 
5.0E-4 ;  ;  ;  ;  ; 0.1067383 ;  ; 
5.3125E-4 ;  ;  ;  ;  ; 0.1035514 ;  ; 
5.625E-4 ;  ;  ;  ;  ; 0.1006339 ;  ; 
5.9375E-4 ;  ;  ;  ;  ; 0.09794982 ;  ; 
6.25E-4 ;  ;  ;  ;  ; 0.09546967 ;  ; 
6.875E-4 ;  ;  ;  ;  ; 0.09102677 ;  ; 
7.5E-4 ;  ;  ;  ;  ; 0.08715151 ;  ; 
8.125E-4 ;  ;  ;  ;  ; 0.08373247 ;  ; 
8.75E-4 ;  ;  ;  ;  ; 0.08068665 ;  ; 
9.375E-4 ;  ;  ;  ;  ; 0.07795073 ;  ; 
0.001 ;  ;  ;  ;  ; 0.0754755 ;  ; 
0.0010625 ;  ;  ;  ;  ; 0.07322201 ;  ; 
0.001125 ;  ;  ;  ;  ; 0.07115903 ;  ; 
0.0011875 ;  ;  ;  ;  ; 0.06926115 ;  ; 
0.00125 ;  ;  ;  ;  ; 0.06750744 ;  ; 
0.001375 ;  ;  ;  ;  ; 0.06436588 ;  ; 
0.0015 ;  ;  ;  ;  ; 0.0616257 ;  ; 
0.001625 ;  ;  ;  ;  ; 0.05920812 ;  ; 
0.00175 ;  ;  ;  ;  ; 0.05705443 ;  ; 
0.001875 ;  ;  ;  ;  ; 0.05511988 ;  ; 
0.002 ;  ;  ;  ;  ; 0.05336966 ;  ; 
0.0021875 ;  ;  ;  ;  ; 0.05103126 ;  ; 
0.002375 ;  ;  ;  ;  ; 0.04897555 ;  ; 
0.0025625 ;  ;  ;  ;  ; 0.04714982 ;  ; 
0.00275 ;  ;  ;  ;  ; 0.04551414 ;  ; 
0.0029375 ;  ;  ;  ;  ; 0.04403768 ;  ; 
0.003125 ;  ;  ;  ;  ; 0.04269616 ;  ; 
0.0033125 ;  ;  ;  ;  ; 0.04147021 ;  ; 
0.0035 ;  ;  ;  ;  ; 0.04034413 ;  ; 
0.003875 ;  ;  ;  ;  ; 0.03834233 ;  ; 
0.00425 ;  ;  ;  ;  ; 0.03661166 ;  ; 
0.004625 ;  ;  ;  ;  ; 0.03509597 ;  ; 
0.005 ;  ;  ;  ;  ; 0.03375416 ;  ; 
0.0053125 ;  ;  ;  ;  ; 0.03274629 ;  ; 
0.005625 ;  ;  ;  ;  ; 0.03182361 ;  ; 
0.0059375 ;  ;  ;  ;  ; 0.03097477 ;  ; 
0.00625 ;  ;  ;  ;  ; 0.0301904 ;  ; 
0.006875 ;  ;  ;  ;  ; 0.02878523 ;  ; 
0.0075 ;  ;  ;  ;  ; 0.02755952 ;  ; 
0.008125 ;  ;  ;  ;  ; 0.02647807 ;  ; 
0.00875 ;  ;  ;  ;  ; 0.02551467 ;  ; 
